feature,impact_Success_Placement,impact_Judge_Appeal_Avg_Score,impact_Fan_Appeal_Avg_Share,feature_clean
celebrity_homestate_New York,-0.0019558760012283968,-0.030358606023146623,0.000406601869835469,celebrity_homestate_New York
celebrity_homestate_North Carolina,-0.0001901265832303374,-0.0010591894803654016,-3.440478210551335e-05,celebrity_homestate_North Carolina
celebrity_homestate_Ohio,-0.0005579139764687216,-0.0031023241003372334,-3.301585891214382e-05,celebrity_homestate_Ohio
celebrity_homestate_Oregon,0.00017664830037483206,-0.001227877734760429,0.00023449566150616507,celebrity_homestate_Oregon
celebrity_homestate_Pennsylvania,0.0018320371195202627,0.0031771263694375653,0.0007727660314109315,celebrity_homestate_Pennsylvania
celebrity_homestate_Rhode Island,-5.931070898360893e-05,-1.1959425649063796e-05,-0.0,celebrity_homestate_Rhode Island
celebrity_homestate_South Carolina,-0.0,-0.0,0.00022666757548455593,celebrity_homestate_South Carolina
celebrity_homestate_South Dakota,-0.0,-0.0,-0.0,celebrity_homestate_South Dakota
celebrity_homestate_Tennessee,-0.0008598500647934121,0.0007455678463182476,4.6583472555017e-05,celebrity_homestate_Tennessee
celebrity_homestate_Texas,0.0005979878629384771,-0.0042548378105733975,-5.57441976315928e-05,celebrity_homestate_Texas
celebrity_homestate_Utah,0.0030522298476267267,0.0017852762126170714,6.2428960489911e-05,celebrity_homestate_Utah
celebrity_homestate_Virginia,0.0013556668515242642,0.0010390276862427704,0.00031702821023424783,celebrity_homestate_Virginia
celebrity_homestate_Washington,-0.00013552785157353587,-0.004644192540582668,6.369214572793589e-05,celebrity_homestate_Washington
celebrity_homestate_Washington D.C.,8.054066539968534e-05,0.0007523097859792138,-0.0,celebrity_homestate_Washington D.C.
celebrity_homestate_West Virginia,-6.851001174934535e-05,4.735472550147195e-06,-0.0,celebrity_homestate_West Virginia
celebrity_homestate_Wisconsin,-0.00010423418696092415,-8.938370813160459e-05,-0.0,celebrity_homestate_Wisconsin
industry_clean_Athlete,-0.0015907265679817803,-0.010958487696561435,0.00016734320451821852,Industry: Athlete
industry_clean_Comedian,-0.0010742229918349895,-0.010501060667487787,2.355457762512787e-05,Industry: Comedian
industry_clean_Model,-0.011558720598778906,-0.027642601199101724,-0.0004074475855037475,Industry: Model
industry_clean_Other,0.001139806084066763,-0.010028050181709672,9.7547274223766e-05,Industry: Other
industry_clean_Singer/Rapper,-0.001326004469721049,0.0047693575089013205,0.00020657203475188526,Industry: Singer/Rapper
industry_clean_TV Personality,-0.001221624657837282,-0.027583833677990093,-0.0005562996435429817,Industry: TV Personality
partner_clean_Cheryl Burke,0.0012389450238951658,0.0016394758918243449,7.594738046944261e-05,Partner: Cheryl Burke
partner_clean_Derek Hough,0.009643934738450228,0.02679685320137258,0.007332316759421397,Partner: Derek Hough
partner_clean_Emma Slater,0.00012736632091903355,-0.003840739996415834,-2.0390495269199926e-05,Partner: Emma Slater
partner_clean_Gleb Savchenko,-0.0009886908891421128,-0.0016026319250878427,-1.3373216554558037e-05,Partner: Gleb Savchenko
partner_clean_Karina Smirnoff,0.00011811593654825926,-0.004188366459723242,0.00010776911320339667,Partner: Karina Smirnoff
partner_clean_Kym Johnson,0.0004496766258189825,-0.0002094925340080924,8.3453741082791e-05,Partner: Kym Johnson
partner_clean_Maksim Chmerkoskiy,0.0021530408533708746,0.0021288403004885237,0.0005039622905305723,Partner: Maksim Chmerkoskiy
partner_clean_Mark Ballas,-0.0006174287391560194,-0.0009492892306050707,8.847514690379998e-05,Partner: Mark Ballas
partner_clean_Other_Partner,-0.02475170362631593,-0.20007842353858815,-0.00016174844636157378,Partner: Other_Partner
partner_clean_Peta Murgatroyd,-0.0014092853852026915,-0.01418369974593842,3.923615102672505e-05,Partner: Peta Murgatroyd
partner_clean_Sasha Farber,0.0020209523206182792,0.0048213076492796695,-4.880226273808397e-07,Partner: Sasha Farber
partner_clean_Sharna Burgess,0.00045546784562791907,-0.0007218345194328128,0.00030087841128472397,Partner: Sharna Burgess
partner_clean_Tony Dovolani,-0.00031517059943835803,-0.012640280924569324,-3.6375023026909416e-05,Partner: Tony Dovolani
partner_clean_Valentin Chmerkovskiy,0.0002408960417850883,0.0033393965267175143,0.0006451755617927525,Partner: Valentin Chmerkovskiy
partner_clean_Witney Carson,0.001325512741484201,0.002076857783250457,0.00011713081294640355,Partner: Witney Carson
