feature,feature_clean,judge_signed_shap,judge_abs_shap,fan_signed_shap,fan_abs_shap,judge_impact_norm,fan_impact_norm,discrepancy
partner_clean_Derek Hough,Partner: Derek Hough,-0.0009681336997168,0.0032123123642677,-0.0009944061635405,0.0045318342129306,-0.5870074413967368,-4.793150349105302,4.206142907708565
Early Performance (W1-2),Early Performance (W1-2),0.0125808742486762,0.9179748322167796,0.0011221542143104,0.036489094603402,7.071203298920078,5.456542788468146,1.614660510451932
homestate_clean_Alabama,State: Alabama,-0.0005435481628302,0.0016086966452407,-0.0002767576262356,0.0015569859604696,-0.3470219360997384,-1.3178527081882883,0.9708307720885498
homestate_clean_Other_State,State: Other_State,0.0008744827904692,0.0053332685674573,-4.6198257873023154e-05,0.0012540797383529,0.4544817546518175,-0.20134178771614664,0.6558235423679641
homestate_clean_Louisiana,State: Louisiana,-3.1465183147495905e-05,9.70398455672704e-05,-0.0001503557851211,0.0008372385352109,-0.057580864851075234,-0.7057368918828552,0.6481560270317799
partner_clean_Karina Smirnoff,Partner: Karina Smirnoff,0.000752170529332,0.0027768222834032,-2.01290652086672e-05,9.695994668650468e-05,0.38534805309365755,-0.0750986491078172,0.46044670220147477
partner_clean_Sharna Burgess,Partner: Sharna Burgess,2.2085735886068244e-05,0.0001478140676464,-9.184472215577836e-05,0.0005985201799559,-0.02731265445082094,-0.4223901719765109,0.39507751752569
partner_clean_Maksim Chmerkoskiy,Partner: Maksim Chmerkoskiy,0.0005280454317548,0.0021303019924075,-2.3529634505848603e-05,0.0001802066918994,0.25866739603168837,-0.09156630680088705,0.35023370283257543
industry_clean_Model,Industry: Model,0.0009942060191691,0.0036904265567399,5.921117560009203e-05,0.0001741751022805,0.522152075562931,0.30911581992456616,0.2130362556383648
partner_clean_Peta Murgatroyd,Partner: Peta Murgatroyd,0.000232590004691,0.0005250873616124,-1.9216215149964695e-05,0.000111935651057,0.09166919709024852,-0.07067806508846744,0.16234726217871598
homestate_clean_Florida,State: Florida,0.0002991615667993,0.0017574646541226,-8.118882921152647e-07,0.0001868088827883,0.1292969742588285,0.01844705728961317,0.11084991696921533
homestate_clean_Ohio,State: Ohio,0.0005440361779287,0.002856314774332,3.399787695895453e-05,0.0001394508320906,0.2677057333447288,0.18701744901957051,0.08068828432515829
partner_clean_Kym Johnson,Partner: Kym Johnson,2.0268987237469627e-05,0.0003110437788073,-2.687252687708156e-05,0.0001675341251808,-0.028339522548186263,-0.10775465718088588,0.07941513463269961
industry_clean_Athlete,Industry: Athlete,0.0002527612726197,0.0075290128114434,4.4447946750790795e-06,0.0006264847396405,0.10307046139578022,0.04390316423514658,0.05916729716063364
homecountry_clean_England,Country: England,9.159781271497312e-05,0.0002655679367789,-1.3459262425180705e-05,5.59399430439305e-05,0.011977169230770865,-0.04279934286818881,0.05477651209895967
homecountry_clean_Canada,Country: Canada,-2.6445295386231725e-05,5.509160649871901e-05,-1.962569405733722e-05,0.0001338509723725,-0.05474350889741975,-0.07266101496828084,0.017917506070861088
homestate_clean_New Jersey,State: New Jersey,6.33007036548456e-05,0.000194644486711,-7.493170675057716e-06,0.0001076651307543,-0.004017007269058215,-0.013907840263637603,0.009890832994579386
homecountry_clean_Italy,Country: Italy,5.6660515445311904e-05,0.0001252500258355,-5.014334050148242e-07,6.179563326792164e-07,-0.007770194281544059,0.019950471677947567,-0.027720665959491627
partner_clean_Tony Dovolani,Partner: Tony Dovolani,0.0001464456697922,0.0006179862632028,1.3111826147220775e-05,5.6646677307932585e-05,0.042978438825715615,0.08587428584016497,-0.04289584701444936
homestate_clean_Kentucky,State: Kentucky,-4.327663885689296e-05,0.0001906813745266,-8.873813821742673e-06,2.2792201805490455e-05,-0.06425697112520355,-0.020593767456691902,-0.043663203668511646
