season,regime,hit_rate,bottom2_rate,avg_margin
1,rank,1.0,,2.3333333333333335
2,rank,0.42857142857142855,,1.0
3,percent,1.0,,0.05973924026238909
4,percent,1.0,,0.059616209773368636
5,percent,1.0,,0.05578625413555638
6,percent,1.0,,0.06008045439114736
7,percent,1.0,,0.0622946467845651
8,percent,1.0,,0.06198179644932199
9,percent,1.0,,0.056202132798697235
10,percent,1.0,,0.06269914290623363
11,percent,1.0,,0.05605910406248955
12,percent,1.0,,0.05811639591755343
13,percent,1.0,,0.06086030341116197
14,percent,1.0,,0.0567748015044891
15,percent,1.0,,0.048250042259684975
16,percent,1.0,,0.06022151707384812
17,percent,1.0,,0.05401807926396158
18,percent,1.0,,0.06410447116627215
19,percent,1.0,,0.055065028095216816
20,percent,1.0,,0.05167008715724984
21,percent,1.0,,0.06545053085474269
22,percent,1.0,,0.04944949483305426
23,percent,1.0,,0.05423212878386105
24,percent,1.0,,0.05453261886214178
25,percent,1.0,,0.056424990029503505
26,percent,1.0,,0.05667506873681516
27,percent,1.0,,0.03575652548542522
28,bottom,0.5714285714285714,0.6666666666666666,0.8571428571428571
29,bottom,0.6666666666666666,1.0,2.5555555555555554
30,bottom,0.5,0.6,2.25
31,bottom,0.4444444444444444,0.5,1.8888888888888888
32,bottom,0.4444444444444444,0.8888888888888888,1.8888888888888888
33,bottom,0.5,0.75,1.0
34,bottom,0.75,0.8571428571428571,1.875
