model,target,MAE,RMSE,Pearson,Spearman
rf,success,0.19141364804521632,0.22770851168226722,0.7383275927905123,0.7366184525459827
xgb,success,0.1928069027919834,0.2302824234903722,0.7302696958392807,0.7088125929181965
rf,judge,3.293084387542546,3.913544401793762,0.4361747540710936,0.44525774043253935
xgb,judge,3.6913625816205733,4.400734618798268,0.36155905061465216,0.37286838658472105
rf,fan,0.038191213975616055,0.050741977997160514,0.21115024375598193,0.20131760888046088
xgb,fan,0.04395988446138376,0.059840205765417,0.09568345093646237,0.12107223673055548
