season,spearman,kendall_tau,top1,top3,ndcg,loglik,loglik_per_item
28,0.5874125874125875,0.42424242424242425,0,1,0.7360509719620809,-18.89935763784779,-1.574946469820649
29,0.47142857142857136,0.3523809523809524,0,0,0.5849097965611991,-26.398128064087313,-1.7598752042724874
30,0.49285714285714277,0.33333333333333337,0,1,0.653016752777315,-26.41776337417146,-1.761184224944764
31,0.3029411764705882,0.19999999999999998,1,1,0.9081479324595827,-29.71431246550462,-1.8571445290940387
32,0.3758241758241758,0.25274725274725274,1,1,0.9139231409820477,-24.294820520043093,-1.735344322860221
33,0.3719022376391383,0.23378595005975902,0,0,0.6112901066917636,-21.632814862864077,-1.6640626817587751
34,0.655665963314031,0.5082950505010434,0,1,0.8635152324332397,-23.71442609131704,-1.6938875779512172
