term,estimate,worth_multiplier
(Intercept),0.5484296298639334,1.7305333051266374
age_z,-0.22161680868549924,0.8012223269548713
celebrity_industryAstronaut,-0.11433037514706432,0.8919632247176211
celebrity_industryAthlete,-0.14095789358747338,0.8685258814368061
celebrity_industryBeauty Pagent,-1.0385828713742615,0.35395592778750573
celebrity_industryComedian,-0.39754877166497493,0.6719651689882857
celebrity_industryEntrepreneur,-0.17564351237052248,0.8389169935675486
celebrity_industryFashion Designer,-0.0326286260765763,0.9678979449090079
celebrity_industryJournalist,-0.7001678212803449,0.4965019732024454
celebrity_industryMagician,-1.3224207832681194,0.2664894073973318
celebrity_industryMilitary,0.2963288072941957,1.3449123011125963
celebrity_industryModel,-0.5916826661032706,0.553395321313889
celebrity_industryMotivational Speaker,0.26221559073899237,1.29980673851976
celebrity_industryMusician,0.6774240878797545,1.9687997396952146
celebrity_industryNews Anchor,0.09767613089156411,1.102605627373957
celebrity_industryPolitician,-0.6109910801955776,0.5428126315512416
celebrity_industryRacing Driver,0.18348255320953935,1.2013940047593832
celebrity_industryRadio Personality,-0.4699595624231755,0.6250275423709479
celebrity_industrySinger/Rapper,-0.17707795124423423,0.8377144810916709
celebrity_industrySocial Media Personality,-0.16793135537984816,0.8454118656692692
celebrity_industrySports Broadcaster,-0.5271588252456815,0.5902796772002799
celebrity_industryTV Personality,-0.22930505303883741,0.795085953120897
ballroom_partner_cAlec Mazo,-0.07561756715959174,0.9271707192981292
ballroom_partner_cAllison Holker,0.0037710503360120556,1.0037781696926682
ballroom_partner_cAndrea Hale,-0.0606041019262523,0.9411957836242042
ballroom_partner_cAnna Demidova,0.026438165279534912,1.0267907539794092
ballroom_partner_cAnna Trebunskaya,-0.059500442258942216,0.9422351168792318
ballroom_partner_cArtem Chigvintsev,-0.10831668715602152,0.8973433743068783
ballroom_partner_cAshly DelGrosso,-0.030042187403511486,0.9704045938347746
ballroom_partner_cBrandon Armstrong,-0.04865683114665322,0.9525079446781155
ballroom_partner_cBrian Fortuna,0,1
ballroom_partner_cCharlotte Jorgensen,0.03527172302933047,1.0359011487592602
ballroom_partner_cChelsie Hightower,-0.07021164401273172,0.9321965052174298
ballroom_partner_cCheryl Burke,0.2255596239792122,1.2530237421507302
ballroom_partner_cCorky Ballas,0.08199955024691609,1.0854553216425609
ballroom_partner_cDamian Whitewood,0.0537928657917804,1.0552659978287233
ballroom_partner_cDerek Hough,0.3519557619416903,1.4218456226377152
ballroom_partner_cDmitry Chaplin,0.012826420274516245,1.0129090316278417
ballroom_partner_cEdyta Sliwinska,-0.09105853306255822,0.9129642707405003
ballroom_partner_cElena Grinenko,-0.10105147707922632,0.9038865022511557
ballroom_partner_cEmma Slater,0.014140818382909245,1.0142412726987562
ballroom_partner_cFabian Sanchez,0.005334423929827424,1.005348677302399
ballroom_partner_cGleb Savchenko,-0.15324721491728296,0.8579176055634288
ballroom_partner_cHenry Byalikov,-0.07083124183038565,0.9316190971960198
ballroom_partner_cInna Brayer,-0.05495180654156141,0.9465307634452998
ballroom_partner_cJenna Johnson,-0.0624904833392932,0.9394220029313981
ballroom_partner_cJesse DeSoto,-0.03676498754197552,0.9639026378607749
ballroom_partner_cJonathan Roberts,-0.09919960199085992,0.9055619380174469
ballroom_partner_cJulianne Hough,0.09424497638725314,1.0988289000817717
ballroom_partner_cKarina Smirnoff,0.006425817414942227,1.0064465072723416
ballroom_partner_cKeo Motsepe,-0.18825465444521192,0.8284037236792059
ballroom_partner_cKym Herjavec,-0.011093754796742876,0.9889675539767309
ballroom_partner_cKym Johnson,0.1061784171778202,1.1120202623251685
ballroom_partner_cLacey Schwimmer,0.014319770458627788,1.0144227895207067
ballroom_partner_cLindsay Arnold,0.09334002108733712,1.0978349588489669
ballroom_partner_cLouis van Amstel,0.03396769219859521,1.034551182114048
ballroom_partner_cMaksim Chmerkoskiy,0.0915626195682223,1.0958853984144574
ballroom_partner_cMark Ballas,-1.7701906188442276e-4,0.9998229966050652
ballroom_partner_cNick Kosovich,-0.07129757767561011,0.9311847511003498
ballroom_partner_cPeta Murgatroyd,0.05608908972596552,1.0576919090216272
ballroom_partner_cSasha Farber,0.048671969055135635,1.0498759024639945
ballroom_partner_cSharna Burgess,0.05678235990948185,1.0584254295200648
ballroom_partner_cTony Dovolani,9.225900928639906e-4,1.0009230158100144
ballroom_partner_cTristan MacManus,-0.06517688043752201,0.9369017291324986
ballroom_partner_cTyne Stecklein,-0.041369213811653406,0.9594748131895403
ballroom_partner_cValentin Chmerkovskiy,0.05981544552468426,1.061640597940793
ballroom_partner_cWitney Carson,0.01564976702494584,1.0157728659470582
celebrity_homestate_cAlaska,-0.00765711450602489,0.9923721265137098
celebrity_homestate_cArizona,0.05263835450658951,1.0540483843348576
celebrity_homestate_cArkansas,0.047625753415653393,1.04877808025484
celebrity_homestate_cCalifornia,-0.21610362484354823,0.8056518120047688
celebrity_homestate_cColorado,-0.03207247537452273,0.9684363917454998
celebrity_homestate_cConnecticut,0.040257394402731225,1.0410787075407606
celebrity_homestate_cDelaware,-0.0016012498817857082,0.9984000314348124
celebrity_homestate_cFlorida,0.007300089617065467,1.0073268002283333
celebrity_homestate_cGeorgia,0.13076078123673,1.139695112244256
celebrity_homestate_cHawaii,0.04350368190234156,1.0444638399188044
celebrity_homestate_cIllinois,-0.15311369593277316,0.8580321614984425
celebrity_homestate_cIndiana,-0.09326693106190881,0.910950306906881
celebrity_homestate_cIowa,0.03204811061258495,1.032567181549771
celebrity_homestate_cKansas,-0.0065593282746788705,0.9934621371604406
celebrity_homestate_cKentucky,-0.03628734407408542,0.9643631496308953
celebrity_homestate_cLouisiana,0.0711031642761084,1.0736919868115558
celebrity_homestate_cMaine,0.09587582495558278,1.1006223856745085
celebrity_homestate_cMaryland,-0.04264134225921274,0.9582550140200783
celebrity_homestate_cMassachusetts,0.03241192388765428,1.0329429115414548
celebrity_homestate_cMichigan,0.02178541047891757,1.0220244452010954
celebrity_homestate_cMinnesota,0.03586323288507596,1.0365140757566382
celebrity_homestate_cMississippi,0.07478056005697271,1.0776476459982298
celebrity_homestate_cMissouri,-0.04260784499976938,0.9582871134745147
celebrity_homestate_cNevada,0.02501325455669779,1.0253287107118927
celebrity_homestate_cNew Hamshire,-4.741333689986543e-4,0.9995259790144648
celebrity_homestate_cNew Jersey,-0.0991293578611738,0.905625550661841
celebrity_homestate_cNew Mexico,-0.09842147726793891,0.9062668523696294
celebrity_homestate_cNew York,-0.08652548933506178,0.9171121719073374
celebrity_homestate_cNorth Carolina,-0.020508445174590276,0.9797004226984652
celebrity_homestate_cOhio,-0.13370031103105187,0.8748522088769588
celebrity_homestate_cOregon,0.02589244362362198,1.0262305648964312
celebrity_homestate_cPennsylvania,0.1565606755187152,1.1694817190762852
celebrity_homestate_cRhode Island,-0.03676498754197552,0.9639026378607749
celebrity_homestate_cSouth Carolina,0.037486834887253566,1.0381983289938
celebrity_homestate_cTennessee,-0.07032858446752219,0.9320875001078334
celebrity_homestate_cTexas,0.06721007548877925,1.069520134541399
celebrity_homestate_cUnknown,-0.011630013281223248,0.9884373539098832
celebrity_homestate_cUtah,0.1558063746181538,1.168599910578678
celebrity_homestate_cVirginia,0.03828426397984582,1.0390265487245862
celebrity_homestate_cWashington,-0.008617392899297275,0.9914196304064428
celebrity_homestate_cWashington D.C.,0.02132749249972688,1.0215565489696898
celebrity_homestate_cWest Virginia,-0.007714304338978355,0.9923153745404002
celebrity_homestate_cWisconsin,-0.01804475707368028,0.9821170746883252
celebrity_homecountry_region_cCzechoslovakia,-0.12065427011769285,0.8863403409689925
celebrity_homecountry_region_cEngland,0.04931557118889057,1.0505518223233983
celebrity_homecountry_region_cOther,-0.049619645870765276,0.9515912973557271
celebrity_homecountry_region_cUnited States,0.01163001328122372,1.0116979048235883
