npseudo,min_partner,min_state,min_country,lambda,spearman_mean,kendall_mean,top1_mean,top3_mean,ndcg_mean
2,1,1,3,10,0.40205738342993247,0.2906256295145184,0.14814814814814814,0.9259259259259259,0.7158042381882364
1,1,1,3,10,0.400379975870172,0.28855362744251634,0.14814814814814814,0.8888888888888888,0.7149385841797781
2,1,3,2,10,0.39493502140560965,0.28823994935106045,0.18518518518518517,0.9629629629629629,0.7249529798646152
2,1,1,1,10,0.3876336807709357,0.2845045900601456,0.14814814814814814,0.8888888888888888,0.7146788146995547
2,2,1,3,10,0.39228306189090506,0.28387579498690607,0.14814814814814814,0.8888888888888888,0.7092812832405951
1,1,1,2,10,0.38989046538066147,0.28358082246971134,0.18518518518518517,0.9259259259259259,0.7204866676676076
1,1,3,5,10,0.392621430856725,0.2833232611010389,0.18518518518518517,0.9259259259259259,0.7241776224388341
2,1,1,5,10,0.39187606148390464,0.2829549051771274,0.14814814814814814,0.8888888888888888,0.7134957657238417
2,5,1,3,10,0.3908136888529046,0.2828944717833607,0.14814814814814814,0.8888888888888888,0.7098714799468724
1,2,1,3,10,0.39326566679507857,0.28267288267288265,0.14814814814814814,0.8888888888888888,0.713018673813336
2,1,3,1,10,0.3903667501706718,0.2825476992143659,0.18518518518518517,0.9259259259259259,0.7208291004966793
2,2,3,2,10,0.3865434130140013,0.2825476992143659,0.18518518518518517,0.9629629629629629,0.7224811042057727
0.5,1,1,2,10,0.38777036326055936,0.28245848801404355,0.18518518518518517,0.9259259259259259,0.7214286822866767
2,1,3,3,10,0.3944045061692121,0.28230884341995455,0.18518518518518517,0.9629629629629629,0.7229420186956378
1,1,5,3,10,0.38129024207455586,0.28184839851506516,0.14814814814814814,0.8888888888888888,0.7161904614777019
1,1,1,5,10,0.3923755619834052,0.2818325707214596,0.14814814814814814,0.8888888888888888,0.7136924443369312
2,5,1,2,10,0.3840161291141684,0.28143543699099255,0.14814814814814814,0.8888888888888888,0.7118855702233867
1,1,1,1,10,0.38624596173615783,0.28099081987970875,0.18518518518518517,0.8888888888888888,0.716979613508542
2,3,3,2,10,0.3875433571512003,0.2808368586146364,0.18518518518518517,0.9629629629629629,0.7244602846403814
2,2,3,3,10,0.387623632721672,0.28050735272957494,0.18518518518518517,0.9259259259259259,0.722091853974054
1,3,1,1,1,0.37869824438451893,0.28046850269072493,0.2222222222222222,0.8518518518518519,0.7255205483136661
2,5,1,1,10,0.3829000338804261,0.2803001525223747,0.14814814814814814,0.8888888888888888,0.7137416664588669
2,3,1,3,10,0.39289240171593115,0.2802066246510691,0.14814814814814814,0.8888888888888888,0.7096042056687112
1,2,1,1,10,0.38448229330582273,0.2801907968574635,0.18518518518518517,0.8888888888888888,0.7166846321096716
2,1,1,2,10,0.38377943770100637,0.2801778468445135,0.14814814814814814,0.9259259259259259,0.7142269138345868
2,5,3,2,10,0.37067678146109523,0.28011165788943565,0.14814814814814814,0.9259259259259259,0.716261328341084
2,1,3,5,10,0.3905947356927749,0.2799835966502633,0.18518518518518517,0.9629629629629629,0.7214947423668195
2,2,1,1,10,0.3810328741701291,0.27993467437911884,0.14814814814814814,0.8888888888888888,0.7120293988341244
2,3,1,1,1,0.3778234111567445,0.27985697430141876,0.2222222222222222,0.8518518518518519,0.7282208656434518
2,3,1,1,10,0.3839819222172164,0.27985265763043543,0.14814814814814814,0.8888888888888888,0.711545110344526
1,2,1,2,10,0.38572179454532396,0.27975912975912975,0.18518518518518517,0.9259259259259259,0.7194708562391121
2,5,5,2,10,0.36869289026151775,0.2795821462488129,0.2222222222222222,0.8888888888888888,0.7310517973934061
1,3,3,1,10,0.38374835041501715,0.27908860686638465,0.18518518518518517,0.8888888888888888,0.7208059728410016
2,3,1,2,10,0.3838006220359162,0.27902385680163455,0.14814814814814814,0.9259259259259259,0.7139281558564194
1,3,1,1,10,0.38448359918948155,0.27896774007885117,0.18518518518518517,0.8888888888888888,0.7159320528486431
1,1,3,3,10,0.3882332264685206,0.2783849894961006,0.18518518518518517,0.9259259259259259,0.723758207460338
0.5,1,5,3,10,0.37990680343621525,0.2783835506057728,0.14814814814814814,0.8888888888888888,0.7185492255405184
1,1,5,5,10,0.3762117693490243,0.2783547727992172,0.14814814814814814,0.9259259259259259,0.7135981988347732
2,5,3,1,10,0.3695865137041608,0.2782180782180782,0.14814814814814814,0.9259259259259259,0.7161978873898502
1,2,3,1,10,0.37966013652288166,0.2780252669141558,0.18518518518518517,0.8888888888888888,0.7209393466557695
2,2,3,1,10,0.38234514214906373,0.2779777835333391,0.18518518518518517,0.9259259259259259,0.7191580643143675
2,1,1,5,1,0.3815421325225247,0.27793317793317796,0.18518518518518517,0.8518518518518519,0.7292559365829462
