feature,feature_clean,signed_Success_Placement,abs_Success_Placement,signed_Judge_Appeal_Avg_Score,abs_Judge_Appeal_Avg_Score,signed_Fan_Appeal_Avg_Share,abs_Fan_Appeal_Avg_Share
age,age,-0.00021222007141330035,0.12057409763825958,-0.00036214180876752345,0.5629697217286738,0.0003905327402321381,0.02281122306566279
homecountry_clean_Australia,Country: Australia,1.104655038903435e-05,3.851335153492575e-05,5.320121756726217e-05,0.0001342495991275537,1.3011953078390594e-06,2.1118645507365845e-06
homecountry_clean_Brazil,Country: Brazil,-8.827264838219526e-05,0.00017046830277137566,-0.0009135647788636963,0.0018162967280003252,-3.438725875185994e-05,8.171598792881643e-05
homecountry_clean_Canada,Country: Canada,-6.535558352150892e-05,0.00019475021599418946,-0.00012284332796863438,0.00027318167012409554,-8.93959390987087e-06,0.0002268657742920448
homecountry_clean_Chile,Country: Chile,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Croatia,Country: Croatia,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Czechoslovakia,Country: Czechoslovakia,9.815962785029333e-05,0.00018528703321268406,1.68965157424113e-05,2.5857486777035177e-05,0.0,0.0
homecountry_clean_England,Country: England,2.0244386672164354e-05,0.0003754404786832673,0.0014115991932372705,0.006245172097687546,-9.190186451275001e-06,5.215703749146066e-05
homecountry_clean_France,Country: France,0.0,0.0,-0.0010507801711566755,0.0020529298087776336,-8.257557958393752e-06,1.632840290778332e-05
homecountry_clean_Ireland,Country: Ireland,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Italy,Country: Italy,0.00013469121017130155,0.0002834919270308771,0.000903709911734791,0.0016943123948868076,3.8034153715914838e-06,6.3632516492211476e-06
homecountry_clean_Mexico,Country: Mexico,6.004081725468572e-05,0.00010275964583305783,0.0003026985916653842,0.0005363959452542675,0.0,0.0
homecountry_clean_Other_Country,Country: Other_Country,-1.6450573607195406e-05,0.0002012095843304292,-2.5969682333557174e-05,0.0006874199194514593,-4.75503302011869e-06,0.00011692917117844912
homecountry_clean_Russia,Country: Russia,2.7088774044060966e-05,5.3796970947276286e-05,0.0,0.0,0.0,0.0
homecountry_clean_Taiwan China,Country: Taiwan China,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_United States,Country: United States,-3.469198572555418e-05,0.0007319260796158054,-4.636416805403926e-05,0.0016397214925650855,1.3946275989868781e-05,0.00014394518112246162
homestate_clean_California,State: California,0.00037435470730794244,0.012718875842627184,0.0010332131956472931,0.04219166141113359,1.620742189736599e-05,0.0009368737561065612
homestate_clean_Florida,State: Florida,0.00021354609880024547,0.0008802430631607992,0.0003888851050741701,0.0013699347500959217,7.901753231409313e-05,0.0004235347765356634
homestate_clean_Georgia,State: Georgia,-0.0006689525668497039,0.0033394490385325903,-0.0020784854789318787,0.007931981731893136,-0.00016031931872349526,0.001235959346076641
homestate_clean_Illinois,State: Illinois,7.529780900088897e-05,0.0006546606261934966,0.001101610875189189,0.004506339620881597,8.363440307347205e-05,0.00013281913761211967
homestate_clean_Iowa,State: Iowa,-9.37597489239782e-06,4.49580568522581e-05,0.00017302873971588852,0.00045500219020487207,4.125292584860792e-06,9.624063504060156e-06
homestate_clean_Kentucky,State: Kentucky,-3.8270737097951805e-06,2.603704428958387e-05,0.0005853081945135242,0.0016386114863366406,-5.37425638889676e-06,3.100555834704125e-05
homestate_clean_Louisiana,State: Louisiana,-0.0001413741436871793,0.0005721405177893925,0.00011559337772447646,0.0012088779833580152,-0.00014940556538812927,0.0008149951127773623
homestate_clean_Michigan,State: Michigan,1.950719832040735e-06,3.697514789879939e-05,-0.00015137478333599616,0.0004001316751318679,-9.629306830074778e-08,9.602009159335697e-06
homestate_clean_New Jersey,State: New Jersey,0.0004202438883690093,0.0014909538592053015,0.003930163774215601,0.015117300489625228,3.915288924498486e-05,0.00020948303948183084
homestate_clean_New York,State: New York,-9.944240186836648e-05,0.002338581182067798,0.0007308277097228859,0.02470179026485088,-6.999530407035225e-05,0.00030162561449841984
homestate_clean_Ohio,State: Ohio,0.0001612979698025938,0.0011430377846644417,-5.610202119572286e-05,0.0013831196841010433,7.843767601285381e-06,3.093322351465127e-05
homestate_clean_Other_State,State: Other_State,-0.00023125993172703314,0.004357896306369661,-0.0006218209692383365,0.011110370483994955,5.019639434012516e-06,0.0031176312210012425
homestate_clean_Pennsylvania,State: Pennsylvania,-0.000604494084853959,0.002952346446942033,-0.002012008459024658,0.0065164651113993975,-0.0001348139454616599,0.0011753847435216928
homestate_clean_Texas,State: Texas,-7.400711112820364e-05,0.0012016152200536377,0.0005284036162085768,0.004815883918746791,-4.057892439409546e-06,6.759925244569496e-05
homestate_clean_Unknown,State: Unknown,4.6170617514600455e-05,0.0008286089238038577,-0.00034415962407679526,0.001458451518382907,4.425584085654017e-05,0.00012581805133563226
industry_clean_Athlete,Industry: Athlete,-0.000225610647932951,0.0037410789614210336,0.0017562172775357101,0.0269792827865172,-4.4466889648997017e-07,0.0002617221389546723
