season,week,num_contestants,tau_percentage,tau_ranking,p_value_pct,p_value_rank
1,1,6,0.0778498944161523,0.0778498944161523,0.8371372715413526,0.8371372715413526
1,2,6,0.2,0.2,0.7194444444444444,0.7194444444444444
1,3,5,0.19999999999999998,0.19999999999999998,0.8166666666666667,0.8166666666666667
1,4,4,0.3333333333333334,0.3333333333333334,0.75,0.75
1,5,3,-0.33333333333333337,-0.33333333333333337,1.0,1.0
1,6,2,1.0,1.0,1.0,1.0
2,1,10,0.08989331499509894,0.08989331499509894,0.7194375444233914,0.7194375444233914
2,2,9,0.02817180849095055,0.02817180849095055,0.916511907863894,0.916511907863894
2,3,8,0.07412493166611012,0.07412493166611012,0.8015726314717444,0.8015726314717444
2,4,7,0.29277002188455997,0.29277002188455997,0.3620501922003584,0.3620501922003584
2,5,6,-0.06666666666666665,-0.06666666666666665,1.0,1.0
2,6,5,0.0,0.0,1.0,1.0
2,7,4,-0.18257418583505539,-0.18257418583505539,0.7179816667337766,0.7179816667337766
2,8,3,0.33333333333333337,0.33333333333333337,1.0,1.0
3,1,11,0.40368671387966554,0.40368671387966554,0.08581278065055217,0.08581278065055217
3,2,10,0.3026531281668172,0.3026531281668172,0.23598289445748843,0.23598289445748843
3,3,9,-0.09284766908852593,-0.09284766908852593,0.7409290735196363,0.7409290735196363
3,4,8,0.264575131106459,0.264575131106459,0.3727144268392836,0.3727144268392836
3,5,7,0.3499271061118826,0.3499271061118826,0.308179547467054,0.308179547467054
3,6,5,0.7999999999999999,0.7999999999999999,0.08333333333333333,0.08333333333333333
3,7,5,0.7378647873726218,0.7378647873726218,0.07697417298126676,0.07697417298126676
3,8,4,0.5477225575051662,0.5477225575051662,0.2785986718379625,0.2785986718379625
3,9,3,,,,
3,10,2,,,,
4,1,11,0.4630423666103976,0.4630423666103976,0.05021228220287827,0.05021228220287827
4,2,11,0.8174238913695993,0.8174238913695993,0.0007519558152441547,0.0007519558152441547
4,3,10,0.5465943944999485,0.5465943944999485,0.03820531429037615,0.03820531429037615
4,4,9,0.8574929257125441,0.8574929257125441,0.0015654022580025482,0.0015654022580025482
4,5,8,0.7857142857142856,0.7857142857142856,0.005505952380952381,0.005505952380952381
4,6,7,0.8783100656536799,0.8783100656536799,0.0062494778823263715,0.0062494778823263715
4,7,6,0.5012804118276031,0.5012804118276031,0.17253716939728247,0.17253716939728247
4,8,5,0.9999999999999999,0.9999999999999999,0.016666666666666666,0.016666666666666666
4,9,4,0.18257418583505539,0.18257418583505539,0.7179816667337766,0.7179816667337766
4,10,3,1.0,1.0,0.3333333333333333,0.3333333333333333
5,1,12,0.18257418583505536,0.18257418583505536,0.43085678249972814,0.43085678249972814
5,2,11,-0.26130983196739516,-0.26130983196739516,0.28579482541369006,0.28579482541369006
5,3,10,-0.20952908873087348,-0.20952908873087348,0.41196240307221876,0.41196240307221876
5,4,9,-0.06085806194501845,-0.06085806194501845,0.8279300870715519,0.8279300870715519
5,5,8,0.07412493166611012,0.07412493166611012,0.8015726314717444,0.8015726314717444
5,6,7,0.29277002188455997,0.29277002188455997,0.3620501922003584,0.3620501922003584
5,7,6,0.13801311186847084,0.13801311186847084,0.7020563949269414,0.7020563949269414
5,8,5,0.6,0.6,0.23333333333333334,0.23333333333333334
5,9,4,0.912870929175277,0.912870929175277,0.07095149242730564,0.07095149242730564
5,10,3,0.33333333333333337,0.33333333333333337,1.0,1.0
6,1,12,0.48856776398974117,0.48856776398974117,0.03146139067246456,0.03146139067246456
6,2,12,0.5737985964123903,0.5737985964123903,0.010610504079329099,0.010610504079329099
6,3,10,0.7399853698407473,0.7399853698407473,0.004051149991792091,0.004051149991792091
6,4,9,0.5303300858899106,0.5303300858899106,0.05408986469796694,0.05408986469796694
6,5,8,0.14824986333222023,0.14824986333222023,0.6152281670802446,0.6152281670802446
6,6,7,0.29277002188455997,0.29277002188455997,0.3620501922003584,0.3620501922003584
6,7,6,0.2760262237369417,0.2760262237369417,0.44421673013860674,0.44421673013860674
6,8,5,0.19999999999999998,0.19999999999999998,0.8166666666666667,0.8166666666666667
6,9,4,0.6666666666666669,0.6666666666666669,0.3333333333333333,0.3333333333333333
6,10,3,1.0,1.0,0.3333333333333333,0.3333333333333333
7,1,13,0.18427434427242972,0.18427434427242972,0.38888541180776515,0.38888541180776515
7,2,11,0.05664411840370208,0.05664411840370208,0.8127156289445747,0.8127156289445747
7,3,9,0.22866478019001177,0.22866478019001177,0.3990751965482371,0.3990751965482371
7,4,9,0.2357022603955158,0.2357022603955158,0.3919692108261509,0.3919692108261509
7,5,8,0.5188745216627709,0.5188745216627709,0.0785458509511907,0.0785458509511907
7,6,7,0.09759000729485331,0.09759000729485331,0.7612636496364197,0.7612636496364197
7,7,6,0.13801311186847084,0.13801311186847084,0.7020563949269414,0.7020563949269414
7,8,5,0.31622776601683794,0.31622776601683794,0.44848886103153174,0.44848886103153174
7,9,4,-0.5477225575051662,-0.5477225575051662,0.2785986718379625,0.2785986718379625
7,10,3,0.816496580927726,0.816496580927726,0.22067136191984693,0.22067136191984693
8,1,13,0.013074409009212265,0.013074409009212265,0.9510785702776804,0.9510785702776804
8,2,13,-0.1192707027181042,-0.1192707027181042,0.5789194388568428,0.5789194388568428
8,3,12,0.1563263498701806,0.1563263498701806,0.4880740931652481,0.4880740931652481
8,4,11,0.09260847332207951,0.09260847332207951,0.6953314519715932,0.6953314519715932
8,5,9,0.253546276418555,0.253546276418555,0.3454475304692257,0.3454475304692257
8,6,8,0.47280542884465016,0.47280542884465016,0.10506382347888965,0.10506382347888965
