season,celebrity_name,s0
34,Corey Feldman,0.07298539481365605
34,Danielle Fishel,0.07181605541106206
34,Elaine Hendrix,0.062466844182164145
34,Baron Davis,0.05057864371570638
34,Jordan Chiles,0.06539773678382856
34,Andy Richter,0.04832333163732847
34,Robert Irwin,0.11959885533840692
34,Hilaria Baldwin,0.0634797830523731
34,Lauren Jauregui,0.0634057388922232
34,Scott Hoying,0.07218858870898957
34,Alix Earle,0.07005456158164443
34,Jen Affleck,0.08947765360111434
34,Whitney Leavitt,0.04473276017940908
34,Dylan Efron,0.10549405210209364
33,Tori Spelling,0.04420856090455873
33,Eric Roberts,0.0638540134186987
33,Reginald VelJohnson,0.08757480894532382
33,Chandler Kinney,0.06828150658238535
33,Dwight Howard ,0.06849794579114725
33,Danny Amendola,0.09781129303638154
33,Stephen Nedoroscik,0.041477796767489986
33,Ilona Maher,0.1077427054626424
33,Anna Delvey,0.05444599290125483
33,Brooks Nader,0.06382638137693504
33,Phaedra Parks,0.0817997946993615
33,Jenn Tran,0.0877934514070487
33,Joey Graziadei,0.13268574870677213
32,Jamie Lynn Spears,0.08222924227955135
32,Mira Sorvino,0.08396793987120232
32,Barry Williams,0.08845819482735412
32,Alyson Hannigan,0.06112139067532872
32,Xochitl Gomez,0.08067389338213232
32,Adrian Peterson,0.07741113422875706
32,Matt Walsh,0.06921230294273108
32,Tyson Beckford,0.05411847492011617
32,Jason Mraz,0.06440770397719128
32,Lele Pons,0.043580203351539046
32,Harry Jowsey,0.07049546768567883
32,Mauricio Umansky,0.07903561093825262
32,Charity Lawson,0.06069524739319733
32,Ariana Madix,0.08459319352696784
31,Jason Lewis,0.04433187924188729
31,Cheryl Ladd,0.06035150496916172
31,Selma Blair,0.01901354136822325
31,Joseph Baena,0.06085835942947451
31,Trevor Donovan,0.07140736819744836
31,Daniel Durant,0.09112056788187946
31,Wayne Brady,0.06108454692145867
31,Sam Champion,0.03725773639815713
31,Jessie James Decker,0.04842614156437162
31,Jordin Sparks,0.06625332515132094
31,Heidi D'Amelio,0.0571514131582571
31,Charli D'Amelio,0.10098665697295375
31,Teresa Giudice,0.03845669306704611
31,Vinny Guadagnino,0.09578583669864538
31,Shangela,0.06166233728422162
31,Gabby Windey,0.08585209169549309
30,Martin Kove,0.04875283533934507
30,Brian Austin Green,0.050015972713047446
30,Melora Hardin,0.03779606450717405
30,Matt James,0.04341280201877845
30,"Mike ""The Miz"" Mizanin",0.08185377783252497
30,Suni Lee,0.07925873256348039
30,Iman Shumpert,0.11619688074564748
30,Cody Rigsby,0.07017838285662807
30,Melanie C,0.05121597087433582
30,Jimmie Allen,0.06783066481549428
30,Olivia Jade,0.06413826044847341
30,JoJo Siwa,0.0810056310270493
30,Christine Chiu,0.06378539562760628
30,Kenya Moore,0.09358911000426569
30,Amanda Kloots,0.0509695186261494
29,Anne Heche,0.07133587180774204
29,Jesse Metcalfe,0.06731572147190965
29,Chrishell Stause,0.07546969835910808
29,Skai Jackson,0.1199212559110185
29,Justina Machado,0.03083866290077744
29,Charles Oakley,0.05271528187215474
29,Veron Davis,0.03878292203225999
29,Johnny Weir,0.04403976298125695
29,Nev Schulman,0.05185909558954991
29,AJ McLean,0.05003034878700639
29,Nelly,0.12962427353511383
29,Kaitlyn Bristowe,0.07799034739124759
29,Carole Baskin,0.06800193398310234
29,Monica Aldama,0.06469850652399882
29,Jeannie Mai,0.057376315557511014
28,Kate Flannery,0.08928024458520224
28,James Van Der Beek,0.07129610000762558
28,Kel Mitchell,0.11313855177345805
28,Ray Lewis,0.045597539441777565
28,Lamar Odom,0.0749959537999317
28,Sailor Brinkley-Cook,0.08091998473649148
28,Sean Spicer,0.08195506491283507
28,Mary Wilson,0.05230992624888191
28,Lauren Alaina,0.12077436599572641
28,Ally Brooke,0.08538509387920079
28,Karamo Brown,0.06055175764152816
28,Hannah Brown,0.12379541573938667
27,Juan Pablo Di Pace,0.054611799938816374
27,Evanna Lynch,0.08502600600219234
27,Nancy McKeon,0.054989526044638096
27,John Schneider,0.059213938931100926
27,Milo Manheim,0.07966325446357767
27,Danelle Umstead,0.06531318271762972
27,Mary Lou Retton,0.08240525730394344
27,DeMarcus Ware,0.06566535852987604
27,Nikki Glaser,0.08795950868432377
27,Bobby Bones,0.13359386507738316
27,Tinashe,0.09883569041284275
27,Alexis Ren,0.08116830550173479
27,Joe Amabile,0.05155430639194094
26,Jamie Anderson,0.09801269083982567
26,Johnny Damon,0.08208242150412247
26,Kareem Abdul-Jabbar,0.0673917742755498
26,Arike Ogunbowale,0.12010047047884827
26,Jennie Finch Daigle,0.09226681214512611
26,Chris Mazdzer,0.11372601866076534
26,Mirai Nagasu,0.10095984645279048
26,Tonya Harding,0.10577924062229918
26,Josh Norman,0.11173474868219502
26,Adam Rippon,0.10794597513747294
25,Sasha Pieterse,0.07080475291616216
25,Frankie Muniz,0.07552727902246356
25,Jordan Fisher,0.08805072261191117
25,Derek Fisher,0.06864781801327034
25,Nikki Bella,0.07545191686320929
25,Terrell Owens,0.08685158374895137
25,Victoria Arlen,0.08288609716665847
25,Barbara Corcoran,0.09511683314329104
25,Lindsey Stirling,0.07033731620154614
25,Debbie Gibson,0.043926604672335036
25,Nick Lachey,0.09419183373595505
25,Drew Scott,0.08488789965750197
25,Vanessa Lachey,0.06331934129557612
24,Charo,0.07440552532356513
24,Mr. T,0.09635047468427396
24,Heather Morris,0.056181019382828455
24,Nancy Kerrigan,0.06573337526299093
24,Bonner Bolton,0.07026980750837601
24,Simone Biles,0.09438512166190849
24,David Ross,0.09991302532416957
24,Rashad Jennings,0.09675036280199607
24,Chris Kattan,0.09314402055666295
24,Erika Jayne,0.10437891951803623
24,Normani,0.07573828790247236
24,Nick Viall,0.07275005902893066
23,Jake T. Austin,0.06195780647679231
23,Maureen McCormick,0.07999416845288325
23,Marilu Henner,0.06359098938855999
23,Ryan Lochte,0.08827352783125109
23,Calvin Johnson Jr.,0.0905706239566093
23,Laurie Hernandez,0.08249724213686763
23,Amber Rose,0.08010552072647527
23,Rick Perry,0.10970797724594003
23,James Hinchcliffe,0.08253367283132199
23,Babyface,0.055066028075992264
23,Vanilla Ice,0.06885211480000164
23,Jana Kramer,0.05532116052044585
23,Terra Jole,0.08152916645977959
22,Mischa Barton,0.09261974594103355
22,Kim Fields,0.09721334120854593
22,Jodie Sweetin,0.07359333704422096
22,Doug Flutie,0.08095098841123455
22,Von Miller,0.06977388622588233
22,Antonio Brown,0.0861155251180933
22,Paige VanZant,0.08414001974684984
22,Geraldo Rivera,0.056074099744424566
22,Nyle DiMarco,0.08942853535095695
22,Ginger Zee,0.06694373325576036
22,Wanya Morris,0.11645399609318297
22,Marla Maples,0.0866927906952747
21,Gary Busey,0.07738112638460923
21,Alexa PenaVega,0.0938879833797637
21,Carlos PenaVega,0.06567783914445463
21,Victor Espinoza,0.04528595183721099
21,Alek Skarlatos,0.0997910216420427
21,Chaka Khan,0.071063223210601
21,Andy Grammer,0.0777745853160436
21,Tamar Braxton,0.056600594790114124
21,Nick Carter,0.09108961190050217
21,Hayes Grier,0.06270935640647718
21,Bindi Irwin,0.1011018913435656
21,Kim Zolciak-Biermann,0.06081521179443423
21,Paula Deen,0.09682160285018089
20,Suzanne Somers,0.09284165035993304
20,Willow Shields,0.06953645632378462
20,Riker Lynch,0.08510572160048721
20,Rumer Willis,0.09977660138507188
20,Nastia Liukin,0.09557034448110437
20,Michael Sam,0.07897888751070974
20,Robert Herjavec,0.08147151857931813
20,Charlotte McKinney,0.10763644428709952
20,Noah Galloway,0.07420196647473695
20,Redfoo,0.0669432513635262
20,Patti LaBelle,0.05783083421596655
20,Chris Soules,0.0901063223418971
19,Antonio Sabato Jr.,0.06373351235196317
19,Jonathan Bennett,0.07507344772883158
19,Lea Thompson,0.08462349600185863
19,Janel Parrish,0.0806565986692562
19,Alfonso Ribeiro,0.11110538164118491
19,Lolo Jones,0.06557488279222076
19,Randy Couture,0.06023943419431512
19,Tommy Chong,0.07729079667946498
19,Betsey Johnson,0.07785792495897724
19,Michael Waltrip,0.07345519869670886
19,Tavis Smiley,0.08021295629225465
19,Bethany Mota,0.059957207075347456
19,Sadie Robertson,0.09021916180656266
18,Billy Dee Williams,0.07903409766191788
18,Danica McKellar,0.09516561152569981
18,James Maslow,0.07430083368954796
18,Candace Cameron Bure,0.10153248048006067
18,Sean Avery,0.08665455050838844
18,Diana Nyad,0.06536655347307936
18,Charlie White,0.05815554577536422
18,Amy Purdy,0.09395032485554786
18,Meryl Davis,0.10480992327752386
18,Drew Carey,0.05291330285271862
18,Cody Simpson,0.0995170258964055
18,NeNe Leakes,0.08859975000374572
17,Valerie Harper,0.0787395236684673
17,Brant Daugherty,0.10449802494243236
17,Elizabeth Berkley Lauren,0.09410957780796292
17,Leah Remini,0.09383706650394602
17,Corbin Bleu,0.06953562197291346
17,Amber Riley,0.08203249766742007
17,Keyshawn Johnson,0.06948813770748034
17,Bill Engvall,0.07395669285352253
17,Christina Milian,0.07807037973709319
17,"Nicole ""Snooki"" Polizzi",0.09472283126684786
17,Jack Osbourne,0.09138470062868756
17,Bill Nye,0.06962494419824619
16,Ingo Rademacher,0.08331026005007278
16,Zendaya,0.0746647703947158
16,Dorothy Hamill,0.10217754678748453
16,Victor Ortiz,0.08069341874383741
16,Alexandra Raisman,0.05093173680583776
16,Jacoby Jones,0.08501714331975052
16,D. L. Hughley,0.09674954477104361
16,Andy Dick,0.07137794987886731
16,Wynonna Judd,0.10810928759286027
16,Kellie Pickler,0.11079505250779981
16,Lisa Vanderpump,0.06844317398323178
16,Sean Lowe,0.06773011405654786
15,Gilles Marini,0.07885053165320804
15,Sabrina Bryan,0.07740105328368375
15,Kirstie Alley,0.06606734186729034
15,Kelly Monaco,0.059575337296140334
15,Apolo Anton Ohno,0.0654050491185723
15,Emmitt Smith,0.09097130000685034
15,Shawn Johnson,0.0796638920019124
15,Pamela Anderson,0.07421053676256645
15,Helio Castroneves,0.07928524040810728
15,Joey Fatone,0.07148595644026856
15,Drew Lachey,0.08967252688669618
15,Bristol Palin,0.06773896721383711
15,Melissa Rycroft,0.09967226606414424
14,William Levy,0.07181996448728023
14,Jack Wagner,0.07660881801733171
14,Sherri Sheperd,0.07998919936845471
14,Jaleel White,0.11933565276887143
14,Roshon Fegan,0.07120676408382302
14,Melissa Gilbert,0.0869246683309904
14,Martina Navratilova,0.0794216108829061
14,Donald Driver,0.08707440875925007
14,Gavin DeGraw,0.07912505538116262
14,Gladys Knight,0.08583134872778017
14,Katherine Jenkins,0.07806146796785984
14,Maria Menounos,0.08460104122428977
13,Elisabetta Canalis,0.09477677555150886
13,David Arquette,0.0752195346574653
13,Ricki Lake,0.0696516229000028
13,J.R. Martinez,0.09938429204267961
13,Metta World Peace (Ron),0.06995186206471048
13,Hope Solo,0.1039810112775277
13,Chynna Phillips,0.09712648784192594
13,Kristin Cavallari,0.07261606558323004
13,Carson Kressley,0.06566949877634644
13,Chaz Bono,0.06798829320349786
13,Nancy Grace,0.0880664473325503
13,Rob Kardashian,0.09556810772874437
12,Ralph Macchio,0.10276181991589141
12,Chelsea Kane,0.08960591780078074
12,Kirstie Alley,0.11930755929475592
12,Hines Ward,0.10389823686458138
12,Sugar Ray Leonard,0.08679498512777449
12,Chris Jericho,0.06310980473741537
12,Petra Nemcova,0.09211550288061936
12,Mike Catherwood,0.08038913359697132
12,Romeo,0.07598169680719806
12,Wendy Williams,0.10777213895633941
12,Kendra Wilkinson,0.07826320282459688
11,David Hasselhoff,0.07819240559946626
11,Florence Henderson,0.06259306238754779
11,Kyle Massey,0.08730178605577295
11,Jennifer Grey,0.09877407315233988
11,Rick Fox,0.0800324070219218
11,Kurt Warner,0.08612458543335594
11,Margaret Cho,0.06484770631655218
11,Michael Bolton,0.10199340972197049
11,Brandy,0.07544378302403963
11,The Situation,0.10869142492076345
11,Audrina Patridge,0.07478826716681984
11,Bristol Palin,0.0812170881125355
10,Aiden Turner,0.0945789705653732
10,Shannen Doherty,0.09462016940155973
10,Niecy Nash,0.10373465914337482
10,Buzz Aldrin,0.094198706590166
10,Chad Ochocinco,0.08859294595408979
10,Evan Lysacek,0.1036536365036966
10,Pamela Anderson,0.08276800420597324
10,Nicole Scherzinger,0.09037259227667524
10,Erin Andrews,0.0766982293326124
10,Kate Gosselin,0.11199631405729915
10,Jake Pavelka,0.0587857708492166
9,Ashley Hamiliton,0.049946131331240984
9,Debi Mazar,0.05307015269764731
9,Melissa Joan Hart,0.060158442687176045
9,Mark Dacascos,0.04691010613918247
9,Chuck Liddell,0.05033191572754265
9,Natalie Coughlin,0.056400551219763624
9,Louie Vito,0.05797200262526083
9,Michael Irvin,0.07646522231567868
9,Joanna Krupa,0.0417007989386954
9,Kathy Ireland,0.047922732074298695
9,Tom DeLay,0.07173291310019567
9,Macy Gray,0.05231047037598595
9,Aaron Carter,0.0826335933655116
9,Mya,0.07650271804977457
9,Donny Osmond,0.09614176022995857
9,Kelly Osbourne,0.07980048816066926
8,Gilles Marini,0.07254526957305098
8,Denise Richards,0.05214768078417223
8,David Alan Grier,0.06790795866063815
8,Lawrence Taylor,0.05793204050849321
8,Ty Murray,0.08433052209154178
8,Shawn Johnson,0.09323195636570104
8,Steve Wozniak,0.09283332452464038
8,Belinda Carlisle,0.08442218977878423
8,Chuck Wicks,0.0927867626104968
8,Lil' Kim,0.08589313224741206
8,Steve-O,0.07020916829695499
8,Holly Madison,0.07026454520431832
8,Melissa Rycroft,0.0754954484214762
7,Ted McGinley,0.08738114137700656
7,Cloris Leachman,0.07947953114545511
7,Susan Lucci,0.04472236058343403
7,Cody Linley,0.10363120619457743
7,Misty May-Treanor,0.07952852496253576
7,Maurice Greene,0.061925144078200975
7,Warren Sapp,0.07919279949009908
7,Jeffrey Ross,0.08469548212734133
7,Toni Braxton,0.08578921016849461
7,Lance Bass,0.06328227095826248
7,Kim Kardashian,0.053902285400441195
7,Rocco DiSpirito,0.09064318587839475
7,Brooke Burke,0.0858268565994445
6,Cristian de la Fuente,0.08951408303307486
6,Steve Guttenberg,0.0864636181833282
6,Priscilla Presley,0.07853430742430696
6,Marlee Matlin,0.06561009509418644
6,Shannon Elizabeth,0.08565415221997412
6,Marissa Jaret Winokur,0.08010756019921621
6,Jason Taylor,0.07389137883330003
6,Kristi Yamaguchi,0.08905263341521902
6,Monica Seles,0.08886789846244063
6,Penn Jillette,0.059382549342600226
6,Adam Carolla,0.08248217173392793
6,Mario,0.12043955085402971
5,Cameron Mathison,0.08630312183157962
5,Jane Seymour,0.09732108053660435
5,Sabrina Bryan,0.0776795328204802
5,Jennie Garth,0.09322905163002489
5,Floyd Mayweather Jr. ,0.08257842787931308
5,Josie Maran,0.06526075890928823
5,Albert Reed,0.056078034643477166
5,Helio Castroneves,0.09866502451772859
5,Mel B,0.0860598614696028
5,Wayne Newton,0.06987552342734427
5,Marie Osmond,0.08936686388572286
5,Mark Cuban,0.09758271844883372
4,John Ratzenberger,0.06494567722131121
4,Ian Ziering,0.10610446638523502
4,Clyde Drexler,0.09624573968560823
4,Laila Ali,0.08014980562801219
4,Apolo Anton Ohno,0.11588778070737062
4,Shandi Finnessey,0.08496799836164125
4,Paulina Porizkova,0.08338654176177657
4,Heather Mills,0.09002870673975474
4,Billy Ray Cyrus,0.09940341593413031
4,Joey Fatone,0.07882019077017985
4,Leeza Gibbons,0.10005967564610206
3,Harry Hamlin,0.07674323328712664
3,Vivica A. Fox,0.10311299036696661
3,Monique Coleman,0.10558512933070546
3,Joey Lawrence,0.09031830048772589
3,Mario Lopez,0.07108656716026514
3,Emmitt Smith,0.09351745838730409
3,Shanna Moakler,0.09799321336564955
3,Willa Ford,0.10289264374153216
3,Sara Evans,0.07018792741100607
3,Jerry Springer,0.10077315572051876
3,Tucker Carlson,0.08778937968534815
2,Tatum O'Neal,0.06017685291679351
2,Tia Carrere,0.09906066569485182
2,George Hamilton,0.10873760206176032
2,Lisa Rinna,0.11467564338295597
2,Stacy Keibler,0.06120318462363184
2,Jerry Rice,0.12884033644530415
2,Giselle Fernandez,0.07301305913866828
2,Master P,0.1321268488360993
2,Drew Lachey,0.13154688236442483
2,Kenny Mayne,0.09061892321424142
1,John O'Hurley,0.16108444067425615
1,Kelly Monaco,0.19749487576597463
1,Evander Holyfield,0.17793965957276073
1,Rachel Hunter,0.15298998193660182
1,Joey McIntyre,0.17970959367303263
1,Trista Sutter,0.13078144837737402
