season,alpha,s0_entropy,mean_abs_rank_diff,mean_sq_rank_diff,weekly_elim_match_rate,finals_order_match,placement_match_rate,elim_week_mae,objective,mean_abs_rank_diff_mean,mean_abs_rank_diff_std,mean_sq_rank_diff_mean,mean_sq_rank_diff_std,weekly_elim_match_rate_mean,weekly_elim_match_rate_std,finals_order_match_mean,finals_order_match_std,placement_match_rate_mean,placement_match_rate_std,elim_week_mae_mean,elim_week_mae_std,alpha_p10,alpha_p50,alpha_p90,s0_entropy_p10,s0_entropy_p50,s0_entropy_p90,mean_sq_rank_diff_p10,mean_sq_rank_diff_p50,mean_sq_rank_diff_p90,weekly_elim_match_rate_p10,weekly_elim_match_rate_p50,weekly_elim_match_rate_p90
23,0.22499999999999998,2.5461410531692286,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.10295454154965829,0.15384615384615385,0.0,0.15384615384615385,0.0,1.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,-0.022916666666666682,0.15416666666666662,0.1895833333333333,2.5304137150654005,2.533611416626858,2.5423316394623106,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,1.0,1.0
24,0.012499999999999983,2.468001022040572,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11730664622585521,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,-0.05833333333333335,-0.022916666666666682,0.04791666666666665,2.4500041946798294,2.4588898682585256,2.465549081524424,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
25,0.22499999999999998,2.5484392198243504,0.3076923076923077,0.3076923076923077,1.0,0.0,0.6923076923076923,0.0,0.2567940895437458,0.3076923076923077,0.0,0.3076923076923077,0.0,1.0,0.0,0.0,0.0,0.6923076923076924,1.1102230246251565e-16,0.0,0.0,0.11874999999999997,0.22499999999999998,0.22499999999999998,2.533653575498231,2.5416111002958734,2.5479551124879904,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.0,1.0,1.0
26,0.22499999999999998,2.290597347472189,0.4,0.4,1.0,0.0,0.6,0.0,0.35418805305055623,0.39999999999999997,5.551115123125783e-17,0.39999999999999997,5.551115123125783e-17,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.11874999999999997,0.33124999999999993,0.47291666666666665,2.2805710566802126,2.2874310417105237,2.290280561853682,0.4,0.4,0.4,1.0,1.0,1.0
27,0.08333333333333331,2.527668047260439,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.10329628154929932,0.15384615384615385,0.0,0.15384615384615385,0.0,1.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,-0.05833333333333335,0.08333333333333331,0.11874999999999997,2.501868870422642,2.5143039125194067,2.5283908057538462,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,1.0,1.0
28,0.15416666666666662,2.442233643694772,0.0,0.0,1.0,1.0,1.0,0.0,-0.04876684278376118,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.022916666666666682,0.11874999999999997,0.26041666666666663,2.400929452630651,2.419589957466538,2.4369958477972182,0.0,0.0,0.0,1.0,1.0,1.0
29,0.22499999999999998,2.636382730977098,0.13333333333333333,0.13333333333333333,1.0,0.0,0.8666666666666667,0.0,0.0809055873211933,0.13333333333333333,0.0,0.13333333333333333,0.0,1.0,0.0,0.0,0.0,0.8666666666666668,1.1102230246251565e-16,0.0,0.0,0.11874999999999997,0.22499999999999998,0.22499999999999998,2.499577848684697,2.5783271549862743,2.6099539523638686,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,1.0,1.0
30,0.08333333333333331,2.6628638518110237,0.13333333333333333,0.13333333333333333,1.0,0.0,0.8666666666666667,0.0,0.0802067199091709,0.13333333333333333,0.0,0.13333333333333333,0.0,1.0,0.0,0.0,0.0,0.8666666666666668,1.1102230246251565e-16,0.0,0.0,0.04791666666666665,0.11874999999999997,0.1895833333333333,2.630562830408575,2.6398904924129294,2.6565490963455245,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,1.0,1.0
31,0.15416666666666662,2.7074834046296488,0.25,0.25,1.0,0.0,0.75,0.0,0.1967008376829067,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.1895833333333333,0.29583333333333334,0.33125,2.681411104257,2.703434669583313,2.7114315837461125,0.25,0.25,0.25,1.0,1.0,1.0
32,0.29583333333333334,2.6223609995270927,0.0,0.0,1.0,1.0,1.0,0.0,-0.05232976786369994,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.15416666666666662,0.26041666666666663,0.33125,2.582417830055933,2.5953128440771533,2.6194685875367023,0.0,0.0,0.0,1.0,1.0,1.0
33,0.08333333333333331,2.5136283000018835,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.10361371211596326,0.15384615384615385,0.0,0.15384615384615385,0.0,1.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.04791666666666665,0.11874999999999997,0.22499999999999998,2.4451614293113524,2.470502461370105,2.492648015604149,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,1.0,1.0
34,0.15416666666666662,2.601211742755584,0.0,0.0,1.0,1.0,1.0,0.0,-0.0518363002678797,0.023809523809523808,0.05323971374999499,0.023809523809523808,0.05323971374999499,1.0,0.0,0.8333333333333334,0.372677996249965,0.9761904761904763,0.05323971374999501,0.0,0.0,0.11874999999999997,0.22499999999999998,0.2958333333333333,2.5006921989979114,2.5711421820484395,2.6019582288751124,0.0,0.0,0.07142857142857142,1.0,1.0,1.0
