feature,feature_clean,judge_signed_shap,judge_abs_shap,fan_signed_shap,fan_abs_shap,judge_impact_norm,fan_impact_norm,discrepancy
homestate_clean_New Jersey,State: New Jersey,0.0039301637742156,0.0151173004896252,3.915288924498486e-05,0.0002094830394818,2.6229658434029677,0.5171911295327669,2.1057747138702005
homestate_clean_Louisiana,State: Louisiana,0.0001155933777244,0.001208877983358,-0.0001494055653881,0.0008149951127773,-0.040920607545850904,-1.5568203162011818,1.515899708655331
industry_clean_TV Personality,Industry: TV Personality,0.0027809826601766,0.0460741335006866,5.211785065330176e-05,0.0010065860819965,1.8204408717336387,0.6597966595084571,1.1606442122251814
industry_clean_Other,Industry: Other,0.0019938919201766,0.0154249351181034,3.6925043971457904e-06,0.0002323158170494,1.2707799296044988,0.1271516365402076,1.1436282930642911
homestate_clean_New York,State: New York,0.0007308277097228,0.0247017902648508,-6.999530407035225e-05,0.0003016256144984,0.38872525838878386,-0.6833628454013843,1.0720881037901682
industry_clean_Athlete,Industry: Athlete,0.0017562172775357,0.0269792827865172,-4.446688964899702e-07,0.0002617221389546,1.1048010133816961,0.08164561677205544,1.0231553966096407
industry_clean_Comedian,Industry: Comedian,0.0018663287555181,0.0075075058007961,1.326601282653615e-05,6.012300514036878e-05,1.1816968217697328,0.23245354992840817,0.9492432718413246
homecountry_clean_England,Country: England,0.0014115991932372,0.0062451720976875,-9.190186451275e-06,5.215703749146066e-05,0.864138671336797,-0.014548974675920617,0.8786876460127176
partner_clean_Emma Slater,Partner: Emma Slater,0.0016348109317373,0.0061928062373677,1.2019184508941598e-05,5.7086244035456246e-05,1.0200174896776761,0.21873930833373523,0.8012781813439409
partner_clean_Peta Murgatroyd,Partner: Peta Murgatroyd,0.0013852599442672,0.0183140615495106,5.029845082681992e-06,4.55906054264431e-05,0.8457447865302953,0.1418614510327215,0.7038833354975738
industry_clean_Singer/Rapper,Industry: Singer/Rapper,-0.0006689492079119,0.0071319671109386,-0.0001210250077368,0.0010533770909948,-0.5888020586238804,-1.2446539828503547,0.6558519242264743
partner_clean_Karina Smirnoff,Partner: Karina Smirnoff,0.0010018555933981,0.0058388486416798,-1.4376209792467252e-05,0.000322397103507,0.5779962462347752,-0.07159161319566218,0.6495878594304374
partner_clean_Sharna Burgess,Partner: Sharna Burgess,0.0003066638907018,0.0016210887498418,-5.766982455175699e-05,0.0009101077454038,0.09251254423567774,-0.5477911700529134,0.6403037142885912
homecountry_clean_Italy,Country: Italy,0.0009037099117347,0.0016943123948868,3.803415371591484e-06,6.3632516492211476e-06,0.5094566927787009,0.12837157987770204,0.38108511290099883
homestate_clean_California,State: California,0.0010332131956472,0.0421916614111335,1.620742189736599e-05,0.0009368737561065,0.599894673340081,0.2648069975176861,0.33508767582239485
partner_clean_Gleb Savchenko,Partner: Gleb Savchenko,0.0011200326097848,0.0058788815473618,2.2346350773840945e-05,9.820629290392108e-05,0.6605245836474658,0.3323309320934719,0.3281936515539939
homestate_clean_Kentucky,State: Kentucky,0.0005853081945135,0.0016386114863366,-5.37425638889676e-06,3.100555834704125e-05,0.28710242157568716,0.027423593676387425,0.25967882789929975
partner_clean_Kym Johnson,Partner: Kym Johnson,0.0002225882351935,0.0005824057309939,-2.5102483013050124e-05,0.0003560803987171,0.0337987242550016,-0.18957313501523598,0.2233718592702376
homestate_clean_Texas,State: Texas,0.0005284036162085,0.0048158839187467,-4.057892439409546e-06,6.759925244569496e-05,0.24736338955177123,0.041902678707608235,0.205460710844163
partner_clean_Cheryl Burke,Partner: Cheryl Burke,0.0001419113596579,0.0024524617810855,-2.785807720042895e-05,0.0003434453348688,-0.02254157446955619,-0.2198827485276223,0.19734117405806612
industry_clean_Model,Industry: Model,0.0027495593913123,0.026821136601235,0.0001382371026905,0.0007882968063141,1.7984965866709934,1.6070483474306816,0.19144823924031185
homestate_clean_Georgia,State: Georgia,-0.0020784854789318,0.0079319817318931,-0.0001603193187234,0.0012359593460766,-1.5731447720116565,-1.6768639884797603,0.10371921646810378
homecountry_clean_Mexico,Country: Mexico,0.0003026985916653,0.0005363959452542,0.0,0.0,0.08974339718126523,0.08653666439268154,0.0032067327885836883
partner_clean_Maksim Chmerkoskiy,Partner: Maksim Chmerkoskiy,-0.0010905545423874,0.0043338445269615,-7.82920946741509e-05,0.0007925143839822,-0.8832280676942887,-0.7746217534605352,-0.10860631423375355
homestate_clean_Pennsylvania,State: Pennsylvania,-0.0020120084590246,0.0065164651113993,-0.0001348139454616,0.0011753847435216,-1.5267208725358106,-1.3963226774278392,-0.13039819510797135
homestate_clean_Iowa,State: Iowa,0.0001730287397158,0.0004550021902048,4.125292584860792e-06,9.624063504060156e-06,-0.0008109053484637281,0.13191200465335332,-0.13272291000181705
homecountry_clean_Other_Country,Country: Other_Country,-2.5969682333557177e-05,0.0006874199194514,-4.75503302011869e-06,0.0001169291711784,-0.13978047338818153,0.03423461870738229,-0.17401509209556382
homecountry_clean_Australia,Country: Australia,5.320121756726217e-05,0.0001342495991275,1.3011953078390594e-06,2.1118645507365845e-06,-0.08449186533176331,0.10084890494877273,-0.18534077028053603
homecountry_clean_Canada,Country: Canada,-0.0001228433279686,0.000273181670124,-8.93959390987087e-06,0.000226865774292,-0.2074317067481904,-0.011792631556228284,-0.1956390751919621
homecountry_clean_Czechoslovakia,Country: Czechoslovakia,1.68965157424113e-05,2.5857486777035177e-05,0.0,0.0,-0.10984507506303905,0.08653666439268154,-0.19638173945572057
homecountry_clean_Chile,Country: Chile,0.0,0.0,0.0,0.0,-0.12164467362225173,0.08653666439268154,-0.20818133801493327
homecountry_clean_Croatia,Country: Croatia,0.0,0.0,0.0,0.0,-0.12164467362225173,0.08653666439268154,-0.20818133801493327
homecountry_clean_Ireland,Country: Ireland,0.0,0.0,0.0,0.0,-0.12164467362225173,0.08653666439268154,-0.20818133801493327
homecountry_clean_Russia,Country: Russia,0.0,0.0,0.0,0.0,-0.12164467362225173,0.08653666439268154,-0.20818133801493327
missing_fan_share,missing_fan_share,0.0,0.0,0.0,0.0,-0.12164467362225173,0.08653666439268154,-0.20818133801493327
homecountry_clean_Taiwan China,Country: Taiwan China,0.0,0.0,0.0,0.0,-0.12164467362225173,0.08653666439268154,-0.20818133801493327
partner_clean_Derek Hough,Partner: Derek Hough,-0.005746894693917,0.0322416896133774,-0.0003635731255647,0.0094397706052728,-4.134960281649063,-3.9125140557130074,-0.22244622593605534
partner_clean_Other_Partner,Partner: Other_Partner,0.0004698137602831,0.2302500758284557,3.158304276978817e-05,0.0006920285039386,0.20644745220105878,0.43392809970704427,-0.22748064750598548
partner_clean_Valentin Chmerkovskiy,Partner: Valentin Chmerkovskiy,-0.0013689988231627,0.0065975202526073,-8.281156724418182e-05,0.000961046928503,-1.0776782599318726,-0.8243327985428917,-0.25334546138898095
partner_clean_Witney Carson,Partner: Witney Carson,-0.0004993926132563,0.0023667668151588,-2.665502865187273e-05,0.0002536871130137,-0.4703930457537686,-0.20665005384769136,-0.26374299190607725
homestate_clean_Michigan,State: Michigan,-0.0001513747833359,0.0004001316751318,-9.629306830074779e-08,9.602009159335697e-06,-0.2273565080963877,0.08547750782402376,-0.31283401592041143
homestate_clean_Ohio,State: Ohio,-5.610202119572286e-05,0.001383119684101,7.843767601285381e-06,3.093322351465127e-05,-0.16082324384122038,0.17281263549352113,-0.3336358793347415
partner_clean_Mark Ballas,Partner: Mark Ballas,0.0002500287261609,0.0018553098734904,2.843538966569628e-05,0.0001624010660532,0.052961655987151336,0.3993061116461541,-0.34634445565900274
homestate_clean_Illinois,State: Illinois,0.0011016108751891,0.0045063396208815,8.363440307347205e-05,0.0001328191376121,0.6476598560132346,1.0064567473666335,-0.3587968913533989
homecountry_clean_United States,Country: United States,-4.636416805403926e-05,0.001639721492565,1.394627598986878e-05,0.0001439451811224,-0.15402286205528676,0.23993597011268722,-0.393958832167974
partner_clean_Tony Dovolani,Partner: Tony Dovolani,-0.0002662274557958,0.0141563543849386,1.6908923129938308e-06,4.338390528452745e-05,-0.3075633062990423,0.10513530011801604,-0.41269860641705836
homecountry_clean_Brazil,Country: Brazil,-0.0009135647788636,0.0018162967280003,-3.438725875185994e-05,8.171598792881643e-05,-0.759628137950857,-0.2916991902527804,-0.46792894769807664
homestate_clean_Other_State,State: Other_State,-0.0006218209692383,0.0111103704839949,5.019639434012516e-06,0.0031176312210012,-0.5558902852364588,0.14174919601772984,-0.6976394812541886
homestate_clean_Florida,State: Florida,0.0003888851050741,0.0013699347500959,7.901753231409313e-05,0.0004235347765356,0.14993132438150994,0.9556743901551307,-0.8057430657736208
homecountry_clean_France,Country: France,-0.0010507801711566,0.0020529298087776,-8.257557958393752e-06,1.632840290778332e-05,-0.855451831420291,-0.004290711939215331,-0.8511611194810756
homestate_clean_Unknown,State: Unknown,-0.0003441596240767,0.0014584515183829,4.425584085654017e-05,0.0001258180513356,-0.361986852229015,0.5733200369847651,-0.9353068892137801
partner_clean_Sasha Farber,Partner: Sasha Farber,-0.0022963866425997,0.007719560437089,-2.683412685175174e-05,0.0001413538122143,-1.7253149765712144,-0.2086200090914497,-1.5166949674797647
age,age,-0.0003621418087675,0.5629697217286738,0.0003905327402321,0.0228112230656627,-0.3745446223517906,4.382124336403117,-4.756668958754908
