regime,weeks,match_rate,top1_acc,mean_elim_rank,median_margin,mean_entropy_norm,mean_hhi
bottom,73,0.8356164383561644,0.75,1.3303571428571428,3.0,0.9362109888344119,0.1490586049568547
percent,248,0.9959677419354839,0.8592964824120602,1.0879396984924623,0.007208202000916514,0.9160203690047659,0.19706202406411463
rank,14,0.7857142857142857,0.7,1.4,3.0,0.9299402810084153,0.26042397337628176
