season,weeks,matched,match_rate,top1_acc,mean_elim_rank,median_margin,regime
1,6,4,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,rank
2,8,7,0.875,0.8571428571428571,1.2857142857142858,3.0,rank
3,10,10,1.0,0.8571428571428571,1.0714285714285714,1.0000000000287557e-06,percent
4,10,10,1.0,1.0,1.0,0.036093578138169345,percent
5,10,10,1.0,1.0,1.0,0.006616359607130112,percent
6,10,10,1.0,0.875,1.0625,0.010904602619354525,percent
7,10,10,1.0,0.75,1.125,0.010380652393245537,percent
8,11,11,1.0,0.8888888888888888,1.0555555555555556,0.010723783068515208,percent
9,10,10,1.0,0.5555555555555556,1.2222222222222223,0.011293161080839664,percent
10,10,10,1.0,1.0,1.0,0.027808928672870548,percent
11,10,10,1.0,1.0,1.0,0.01068061635644564,percent
12,10,10,1.0,1.0,1.0,0.009403264895330887,percent
13,10,10,1.0,1.0,1.0,0.010308743342838836,percent
14,10,10,1.0,0.875,1.0625,0.0011800241663125627,percent
15,10,10,1.0,0.5714285714285714,1.2142857142857142,9.999999999732445e-07,percent
16,10,10,1.0,1.0,1.0,0.021307298384559845,percent
17,11,11,1.0,1.0,1.0,0.009191484844799536,percent
18,10,9,0.9,0.8571428571428571,1.4285714285714286,0.0001355672067550051,percent
19,11,11,1.0,1.0,1.0,0.0019287984557785492,percent
20,10,10,1.0,0.875,1.0625,0.00962415653558149,percent
21,11,11,1.0,0.7142857142857143,1.2142857142857142,0.0009179766228112896,percent
22,10,10,1.0,0.7142857142857143,1.1428571428571428,1.0000000000287557e-06,percent
23,11,11,1.0,0.8888888888888888,1.0555555555555556,0.023013363721598068,percent
24,10,10,1.0,0.875,1.0625,0.0006139613384451431,percent
25,10,10,1.0,0.75,1.125,1.000000000001e-06,percent
26,4,4,1.0,0.0,1.6666666666666667,1.000000000001e-06,percent
27,9,9,1.0,0.7142857142857143,1.1428571428571428,0.012564473102863183,percent
28,11,10,0.9090909090909091,0.7142857142857143,1.3571428571428572,4.0,bottom
29,11,9,0.8181818181818182,0.7777777777777778,1.3333333333333333,3.0,bottom
30,10,7,0.7,0.625,1.5,3.0,bottom
31,10,7,0.7,0.6666666666666666,1.3888888888888888,3.0,bottom
32,11,11,1.0,1.0,1.0,4.0,bottom
33,9,7,0.7777777777777778,0.5,1.6666666666666667,3.0,bottom
34,11,10,0.9090909090909091,0.875,1.1875,4.5,bottom
