season,celebrityname,wiki_title,pageid,cutoff_start_utc,edits_start_to_cutoff,cutoff_end_utc,edits_end_to_cutoff,edits_change,status_start,status_end,notes
5,Josie Maran,Josie Maran,929640,2007-09-17T00:00:00Z,389.0,2007-11-28T00:00:00Z,460,71,ok,ok,nan
5,Marie Osmond,Marie Osmond,728775,2007-09-17T00:00:00Z,287.0,2007-11-28T00:00:00Z,537,250,ok,ok,nan
5,Mark Cuban,Mark Cuban,408743,2007-09-17T00:00:00Z,1240.0,2007-11-28T00:00:00Z,1424,184,ok,ok,nan
5,Mel B,Mel B,262482,2007-09-17T00:00:00Z,981.0,2007-11-28T00:00:00Z,1024,43,ok,ok,nan
5,Sabrina Bryan,Sabrina Bryan,3028912,2007-09-17T00:00:00Z,621.0,2007-11-28T00:00:00Z,771,150,ok,ok,nan
5,Wayne Newton,Wayne Newton,556410,2007-09-17T00:00:00Z,234.0,2007-11-28T00:00:00Z,317,83,ok,ok,nan
6,Adam Carolla,Adam Carolla,2723,2008-03-10T00:00:00Z,1095.0,2008-05-21T00:00:00Z,1182,87,ok,ok,nan
6,Cristian de la Fuente,Cristián de la Fuente,4092617,2008-03-10T00:00:00Z,77.0,2008-05-21T00:00:00Z,116,39,ok,ok,nan
6,Jason Taylor,Jason Taylor,3917511,2008-03-10T00:00:00Z,nan,2008-05-21T00:00:00Z,29,,disambiguation,ok,Page is a disambiguation page (pageprops.disambiguation)
6,Kristi Yamaguchi,Kristi Yamaguchi,17291,2008-03-10T00:00:00Z,365.0,2008-05-21T00:00:00Z,543,178,ok,ok,nan
6,Mario,Mario,81361,2008-03-10T00:00:00Z,8340.0,2008-05-21T00:00:00Z,8525,185,ok,ok,nan
6,Marissa Jaret Winokur,Marissa Jaret Winokur,1823364,2008-03-10T00:00:00Z,109.0,2008-05-21T00:00:00Z,185,76,ok,ok,nan
6,Marlee Matlin,Marlee Matlin,182870,2008-03-10T00:00:00Z,291.0,2008-05-21T00:00:00Z,354,63,ok,ok,nan
6,Monica Seles,Monica Seles,300468,2008-03-10T00:00:00Z,876.0,2008-05-21T00:00:00Z,936,60,ok,ok,nan
6,Penn Jillette,Penn Jillette,348378,2008-03-10T00:00:00Z,585.0,2008-05-21T00:00:00Z,630,45,ok,ok,nan
6,Priscilla Presley,Priscilla Presley,208580,2008-03-10T00:00:00Z,420.0,2008-05-21T00:00:00Z,558,138,ok,ok,nan
6,Shannon Elizabeth,Shannon Elizabeth,26675,2008-03-10T00:00:00Z,549.0,2008-05-21T00:00:00Z,665,116,ok,ok,nan
6,Steve Guttenberg,Steve Guttenberg,724645,2008-03-10T00:00:00Z,516.0,2008-05-21T00:00:00Z,562,46,ok,ok,nan
7,Brooke Burke,Brooke Burke,21486834,2008-09-15T00:00:00Z,578.0,2008-11-26T00:00:00Z,678,100,ok,ok,nan
7,Cloris Leachman,Cloris Leachman,521820,2008-09-15T00:00:00Z,461.0,2008-11-26T00:00:00Z,558,97,ok,ok,nan
7,Cody Linley,Cody Linley,4833081,2008-09-15T00:00:00Z,1457.0,2008-11-26T00:00:00Z,1773,316,ok,ok,nan
7,Jeffrey Ross,Jeff Ross,5847824,2008-09-15T00:00:00Z,117.0,2008-11-26T00:00:00Z,143,26,ok,ok,nan
7,Kim Kardashian,Kim Kardashian,19394613,2008-09-15T00:00:00Z,2247.0,2008-11-26T00:00:00Z,2568,321,ok,ok,nan
7,Lance Bass,Lance Bass,161230,2008-09-15T00:00:00Z,2505.0,2008-11-26T00:00:00Z,2641,136,ok,ok,nan
7,Maurice Greene,Maurice Greene,1127982,2008-09-15T00:00:00Z,nan,2008-11-26T00:00:00Z,16,,disambiguation,ok,Page is a disambiguation page (pageprops.disambiguation)
7,Misty May-Treanor,Misty May-Treanor,928737,2008-09-15T00:00:00Z,560.0,2008-11-26T00:00:00Z,646,86,ok,ok,nan
7,Rocco DiSpirito,Rocco DiSpirito,1433761,2008-09-15T00:00:00Z,112.0,2008-11-26T00:00:00Z,138,26,ok,ok,nan
7,Susan Lucci,Susan Lucci,645193,2008-09-15T00:00:00Z,377.0,2008-11-26T00:00:00Z,461,84,ok,ok,nan
7,Ted McGinley,Ted McGinley,654916,2008-09-15T00:00:00Z,216.0,2008-11-26T00:00:00Z,253,37,ok,ok,nan
7,Toni Braxton,Toni Braxton,495350,2008-09-15T00:00:00Z,1809.0,2008-11-26T00:00:00Z,1922,113,ok,ok,nan
7,Warren Sapp,Warren Sapp,538870,2008-09-15T00:00:00Z,597.0,2008-11-26T00:00:00Z,700,103,ok,ok,nan
8,Belinda Carlisle,Belinda Carlisle,338350,2009-03-02T00:00:00Z,982.0,2009-05-20T00:00:00Z,1086,104,ok,ok,nan
8,Chuck Wicks,Chuck Wicks,13255277,2009-03-02T00:00:00Z,302.0,2009-05-20T00:00:00Z,386,84,ok,ok,nan
8,David Alan Grier,David Alan Grier,998033,2009-03-02T00:00:00Z,316.0,2009-05-20T00:00:00Z,345,29,ok,ok,nan
