fold,n_test,exact_accuracy_marginal,within1_accuracy_marginal,mae_expected_marginal,spearman_expected_vs_true_marginal,exact_accuracy_conditional,within1_accuracy_conditional,mae_expected_conditional,spearman_expected_vs_true_conditional
1,85,0.10588235294117647,0.27058823529411763,2.923610108858277,0.4915406835892202,0.12941176470588237,0.3058823529411765,2.7916207567038693,0.5312834355292351
2,84,0.09523809523809523,0.4166666666666667,2.7792273673992147,0.43005037153797,0.07142857142857142,0.35714285714285715,2.7579860978193054,0.5001835423246389
3,84,0.08333333333333333,0.32142857142857145,2.755251548672209,0.457586470794526,0.08333333333333333,0.2619047619047619,2.7037555051129516,0.4740586554221476
4,84,0.05952380952380952,0.27380952380952384,2.926309008247596,0.2600424649821796,0.047619047619047616,0.23809523809523808,2.9376770052418086,0.26973475381139544
5,84,0.07142857142857142,0.2857142857142857,2.8382153303450193,0.45254534773081595,0.09523809523809523,0.30952380952380953,2.7801098354876195,0.4375230541049132
overall_mean,421,0.08308123249299719,0.31364145658263304,2.8445226727044632,0.41835306772694236,0.08540616246498599,0.2945098039215686,2.7942298400731107,0.44255668823846606
overall_sd,NA,0.01842878622672167,0.06102237842577168,0.07939839464290904,0.09119193070330935,0.03025184147621986,0.046160986215470365,0.08700931728772068,0.10256512860716349
