term,estimate,std_error,z,p_value,odds_ratio,ci_low,ci_high
1|2,-2.4237750367638875,0.25742996349646197,-9.415279417530583,4.71825767039825e-21,0.0885865678944819,0.05348587036886595,0.14672248870968577
2|3,-1.5598174832022016,0.22528512964513298,-6.92374807719982,4.398478283504097e-12,0.21017442806386166,0.13514914436170897,0.32684846375162646
3|4,-0.9699752851805961,0.21433322074439948,-4.525548031293424,6.0239197581562114e-6,0.3790924071880018,0.2490582690015357,0.5770177949269679
4|5,-0.4810132661617883,0.20974845056723002,-2.2932863859588353,0.02183152250221696,0.6181567170815112,0.40978599077723016,0.9324811864559817
5|6,-0.04228862856278611,0.20836950201236407,-0.20295018298924006,0.839173970019987,0.9585930633019939,0.6371865223680105,1.4421219356551058
6|7,0.3734498965613211,0.2104363018093289,1.7746457875870427,0.07595639189810352,1.4527377745620114,0.9617456551741308,2.194392072670476
7|8,0.7725199864616643,0.21464742537267764,3.599018181188946,3.194208597509353e-4,2.165215698884935,1.4216398549339926,3.297712150110938
8|9,1.181936900066304,0.22051928543354918,5.359789270777709,8.33190826495473e-8,3.260683708967844,2.1164054361257953,5.023639643163507
9|10,1.624908973624267,0.2286240250500732,7.107341292186504,1.18299647275314e-12,5.07795678813942,3.243995939400014,7.948729167330692
10|11,2.147243997514099,0.24027806378814695,8.9364961730644,4.0170502377738883e-19,8.561231079522463,5.345734710116928,13.710870735554733
11|12,2.741831674899252,0.25861881800676156,10.601825868787193,2.9221854116653214e-26,15.515378213747903,9.34590978656069,25.757466807758586
12|13,3.6355760840607316,0.30166509283923937,12.051696302820725,1.8999908691229605e-33,37.92369384097415,20.995591814554167,68.50040557308675
13|14,4.599194191491865,0.3832025258545686,12.001993413888226,3.4684070344050446e-33,99.4041826242333,46.904669848077056,210.6654103993661
14|15,5.246450334799619,0.47341396110147355,11.082162263641129,1.53129119199278e-28,189.89102116703876,75.08035733077789,480.26675953337747
15|16,6.369995210832332,0.7471381073774158,8.525860410456266,1.516780894532623e-17,584.0550317471226,135.04452250117703,2525.9838295637596
age_z,0.9215356887913335,0.10570617673532794,8.7178982085287,2.834135748701408e-18,2.5131468394575744,2.0428616252574114,3.0916959614823427
celebrity_industryAthlete,0.4113137653966097,0.25942615307301964,1.5854753290075532,0.11285837795427077,1.5087986911158944,0.9074094525491531,2.5087610492901744
celebrity_industryComedian,0.5902409847996659,0.6195427237174647,0.9527042481558359,0.34073994033520766,1.8044232015710666,0.5357633354880811,6.077204009120575
celebrity_industryModel,1.9386066845835206,0.4778374767568838,4.057041941835494,4.969815983300245e-5,6.949061987102964,2.7238470295022346,17.72840470759622
celebrity_industryOther,0.20750238475224808,0.3644299910107465,0.5693888809116403,0.5690922609488798,1.2306006515142633,0.6024320514649046,2.5137738933791627
celebrity_industrySinger/Rapper,0.5401832742884219,0.28934999957067986,1.8668853467769602,0.061917600569817856,1.7163213909430894,0.9734169925124316,3.0262047402785606
celebrity_industrySocial Media Personality,0.6588485146741185,0.6354226753618558,1.0368665460339803,0.299798056842868,1.9325657316165812,0.5562263690364956,6.714550972274528
celebrity_industryTV Personality,0.5228242197471148,0.27722842543604104,1.8858968697917118,0.0593088534271742,1.6867847798307967,0.979666085845792,2.904298652956223
