outcome,age,industry,pro_partner,total
Judge,0.12524777034526913,0.0468493486445305,0.06341030859331043,0.23550742758311005
Fan,0.07890348083961318,0.02688337613411229,0.02252570589085434,0.12831256286457982
Success,0.1852416695153275,0.039181904510242616,0.05602991827687176,0.2804534923024419
