outcome,term,coef,p,sig
Judge score (W1-3),industry_Athlete,-0.3933262196283569,0.48430659480623184,
Judge score (W1-3),industry_Comedian,-2.3338146152511268,0.059185466903195226,
Judge score (W1-3),industry_Model,-1.9479315939591801,0.06363088519938478,
Judge score (W1-3),industry_Other,-1.0215799143203939,0.21867711971669207,
Judge score (W1-3),industry_Radio Personality,-2.359171064093051,0.2619355849741082,
Judge score (W1-3),industry_Singer/Rapper,-0.02920374346429222,0.9629199255787576,
Judge score (W1-3),industry_Social Media Personality,3.08838300754708,0.038841638262469454,*
Judge score (W1-3),industry_TV Personality,-1.7042696922509184,0.00635215864210672,**
Judge score (W1-3),partner_Derek Hough,3.069647908448741,0.016232283791577734,*
Judge score (W1-3),partner_Emma Slater,0.016904012858518058,0.9895360154105717,
Judge score (W1-3),partner_Karina Smirnoff,-1.079983907047883,0.38365457440793527,
Judge score (W1-3),partner_Kym Johnson,-0.08692129936105975,0.9483207724622411,
Judge score (W1-3),partner_Maksim Chmerkoskiy,0.5411114817128353,0.6684352999666079,
Judge score (W1-3),partner_Mark Ballas,0.7460326676454413,0.5388928689885424,
Judge score (W1-3),partner_Other,-0.7629644082713058,0.3715994501431077,
Judge score (W1-3),partner_Peta Murgatroyd,-0.29279405629710986,0.8228929547778885,
Judge score (W1-3),partner_Sharna Burgess,2.080603662101513,0.12846327737999347,
Judge score (W1-3),partner_Tony Dovolani,0.07679072337749204,0.9493128381052642,
Judge score (W1-3),partner_Valentin Chmerkovskiy,2.213709107718363,0.0750085901197958,
Judge score (W1-3),partner_Witney Carson,2.420531597558772,0.07171941311356979,
Judge score (W1-3),age,-0.09441320081126166,7.437952986217241e-09,***
Judge score (W1-3),R²,0.23550742758311005,,
Judge score (W1-3),R²_adj,0.19527097640327373,,
Fan share (W1-3),industry_Athlete,-0.002306161959128489,0.5207704997357969,
Fan share (W1-3),industry_Comedian,-0.013338789304354047,0.09114127953970821,
Fan share (W1-3),industry_Model,-0.012476438430760826,0.06285608980262024,
Fan share (W1-3),industry_Other,-0.004193968019610325,0.42883238069944174,
Fan share (W1-3),industry_Radio Personality,0.0017730537468899216,0.894884239947227,
Fan share (W1-3),industry_Singer/Rapper,0.0023092346712687457,0.5649401497815822,
Fan share (W1-3),industry_Social Media Personality,-0.015957860704731062,0.0943179771463553,
Fan share (W1-3),industry_TV Personality,-0.004288605428659553,0.28032035716460313,
Fan share (W1-3),partner_Derek Hough,0.011702295671278229,0.1503683396072799,
Fan share (W1-3),partner_Emma Slater,-0.006859387957899625,0.4048511453610639,
Fan share (W1-3),partner_Karina Smirnoff,0.003574846287265329,0.651475150580141,
Fan share (W1-3),partner_Kym Johnson,0.0071857374299304205,0.40164745197856333,
Fan share (W1-3),partner_Maksim Chmerkoskiy,0.004946609722814566,0.5398618493430293,
Fan share (W1-3),partner_Mark Ballas,-0.004090545540052649,0.597758358628866,
Fan share (W1-3),partner_Other,-0.0007217050506772779,0.8946609885814967,
Fan share (W1-3),partner_Peta Murgatroyd,-0.007743070835271454,0.3542324116422956,
Fan share (W1-3),partner_Sharna Burgess,0.0013081837869262248,0.8808537757488163,
Fan share (W1-3),partner_Tony Dovolani,0.0047558970883991416,0.5376567419112612,
Fan share (W1-3),partner_Valentin Chmerkovskiy,-0.000818966187863045,0.9176890534776053,
Fan share (W1-3),partner_Witney Carson,0.005774558990118011,0.5003508463570852,
Fan share (W1-3),age,-0.0005552729361789395,9.276310842789014e-08,***
Fan share (W1-3),R²,0.12831256286457982,,
Fan share (W1-3),R²_adj,0.08243427669955772,,
Success score,industry_Athlete,-0.04393517988777679,0.2556331282434814,
Success score,industry_Comedian,-0.09419122014748782,0.2668926493027774,
Success score,industry_Model,-0.29199581333193053,5.933555308267082e-05,***
Success score,industry_Other,-0.020961073263667196,0.7130597318547456,
Success score,industry_Radio Personality,-0.17650964851536072,0.22180100390100838,
Success score,industry_Singer/Rapper,-0.04923856674804729,0.25420173343857777,
Success score,industry_Social Media Personality,-0.038159713210063534,0.7094654086040757,
Success score,industry_TV Personality,-0.045917119719382275,0.28252455248508795,
Success score,partner_Derek Hough,0.16782659880738707,0.05540145072719407,
Success score,partner_Emma Slater,-0.11178733025826343,0.20716696072639462,
Success score,partner_Karina Smirnoff,-0.14415153527687607,0.09090583885859595,
Success score,partner_Kym Johnson,-0.038958811423779174,0.6723780429275886,
Success score,partner_Maksim Chmerkoskiy,-0.06364578774902961,0.46341541294117916,
Success score,partner_Mark Ballas,-0.11617823854954959,0.1639921391675393,
Success score,partner_Other,-0.15791717495673815,0.007329202464326351,**
Success score,partner_Peta Murgatroyd,-0.1304935034421621,0.1469459921442512,
Success score,partner_Sharna Burgess,-0.07553720452138228,0.4212057165703711,
Success score,partner_Tony Dovolani,-0.14644555291996503,0.07815213972344552,
Success score,partner_Valentin Chmerkovskiy,-0.05995866550068129,0.48191666731986904,
Success score,partner_Witney Carson,-0.04665037995006728,0.6126860339504434,
Success score,age,-0.00970389864465272,3.106906450949818e-17,***
Success score,R²,0.2804534923024419,,
Success score,R²_adj,0.2425826234762547,,
