factor,outcome,effect,p,effect_type
age,Judge,-0.3539036173102348,7.239013401275398e-14,r
age,Fan,-0.28089763409401153,4.494133162581334e-09,r
age,Success,-0.43039710676923426,2.0550158430031452e-20,r
industry,Judge,0.06295959036713081,0.0007110645551123287,η²
industry,Fan,0.02915716283738015,0.13915239262394455,η²
industry,Success,0.03933377775368866,0.03393704334647467,η²
pro_partner,Judge,0.11480674595370435,1.20905260411759e-06,η²
pro_partner,Fan,0.03874699659614475,0.1770334976745932,η²
pro_partner,Success,0.10642537218839168,5.7657842690159856e-06,η²
