season,week,regime,n_active,k_elim,has_elim,share_entropy,share_entropy_norm,share_hhi,status,hit_set,top1,elim_rank,margin
1,1,rank,6,0,0,1.615197339035176,0.9014587988928294,0.22258002978198513,ok,1,,,
1,2,rank,6,1,1,1.6151973412743168,0.9014588001425177,0.22258002843607197,ok,0,0.0,2.0,0.0
1,3,rank,5,1,1,1.4875543868931578,0.9242695076341237,0.24621524595150918,ok,1,1.0,1.0,3.0
1,4,rank,4,1,1,1.2504976714463476,0.9020433946194211,0.31084754460480873,ok,0,0.0,2.0,1.0
1,5,rank,3,0,0,1.0493848757740232,0.9551912777584466,0.36795550334496946,ok,1,,,
1,6,rank,2,0,0,0.6510899654505368,0.9393242643280559,0.5414642201934443,ok,1,,,
2,1,rank,10,1,1,2.1133780601563124,0.917828429701285,0.13790517345180295,ok,1,1.0,1.0,4.0
2,2,rank,9,1,1,2.0183452530088952,0.9185885110823826,0.14912921977365462,ok,1,1.0,1.0,4.0
2,3,rank,8,1,1,1.9459364054182875,0.935797600660753,0.15648344967171238,ok,1,1.0,1.0,3.0
2,4,rank,7,1,1,1.8678038590053703,0.9598613070146833,0.16633178983059804,ok,0,0.0,3.0,0.0
2,5,rank,6,1,1,1.6808420591361126,0.9380958147581444,0.20659594794519057,ok,1,1.0,1.0,3.0
2,6,rank,5,1,1,1.517377519677452,0.9427996618910157,0.2430841535598109,ok,1,1.0,1.0,3.0
2,7,rank,4,1,1,1.2964820665544554,0.935214124009794,0.30051257824680977,ok,1,1.0,1.0,2.0
2,8,rank,3,0,0,1.0406412005936234,0.9472324416243633,0.3742507424755771,ok,1,,,
3,1,percent,11,1,1,2.226845554125906,0.9286667267695775,0.12328704410094046,ok,1,1.0,1.0,9.99999999945489e-07
3,2,percent,10,1,1,2.110571990991571,0.9166097693471988,0.14087905526846067,ok,1,1.0,1.0,9.999999999177334e-07
3,3,percent,9,1,1,2.0141837933540234,0.9166945491734378,0.1519459232577849,ok,1,1.0,1.0,1.000000000001e-06
3,4,percent,8,1,1,1.9042533145195875,0.9157522711512602,0.16602524914153283,ok,1,1.0,1.0,0.029053710942456595
3,5,percent,7,2,1,1.7772706678754593,0.9133364501635783,0.18822726334937978,ok,1,0.0,1.5,0.03710163819584805
3,6,percent,5,0,0,1.487719246013976,0.9243719403651689,0.25229918425839065,ok,1,,,
3,7,percent,5,1,1,1.4384304006666104,0.8937470588667447,0.2800523891006401,ok,1,1.0,1.0,1.0000000000287557e-06
3,8,percent,4,1,1,1.1573561008914712,0.8348559536493562,0.38054444250434344,ok,1,1.0,1.0,0.013442859711126964
3,9,percent,3,0,0,0.9282610420889652,0.8449396130588818,0.44716667276003247,ok,1,,,
3,10,percent,2,0,0,0.6294793141047386,0.9081466848010925,0.5623047399245957,ok,1,,,
4,1,percent,11,0,0,2.2122637236539,0.9225856311364939,0.12429714586605593,ok,1,,,
4,2,percent,11,1,1,2.2033897249192487,0.9188848862226865,0.12594175819265674,ok,1,1.0,1.0,0.0023760586143915796
4,3,percent,10,1,1,2.130865239632437,0.9254230152518177,0.1345720963959303,ok,1,1.0,1.0,0.02900596633915778
4,4,percent,9,1,1,2.0436574396214735,0.9301085836656162,0.14662433205996145,ok,1,1.0,1.0,0.04318118993718091
4,5,percent,8,1,1,1.9508422444375892,0.9381568105356017,0.15953618566830383,ok,1,1.0,1.0,1.0000000000287557e-06
4,6,percent,7,1,1,1.8166761034303263,0.9335868381755824,0.1788240342358127,ok,1,1.0,1.0,0.05320572049920508
4,7,percent,6,1,1,1.6941058721820672,0.9454984897676807,0.2000665061705531,ok,1,1.0,1.0,0.07205167772005855
4,8,percent,5,1,1,1.5640613355492747,0.9718059475707277,0.2201934520925468,ok,1,1.0,1.0,1.0000000000842668e-06
4,9,percent,4,1,1,1.3148115482538771,0.9484360501847043,0.28800099684399644,ok,1,1.0,1.0,0.06597007001968419
4,10,percent,3,0,0,1.092038780166394,0.9940165347051733,0.33759555390668616,ok,1,,,
5,1,percent,12,1,1,2.3036347704225024,0.9270508293013892,0.11683836581065124,ok,1,1.0,1.0,1.0000000000148779e-06
5,2,percent,11,1,1,2.2207910682306635,0.9261418100378401,0.12604786488444278,ok,1,1.0,1.0,0.01699028611559844
5,3,percent,10,1,1,2.1395999837609305,0.9292164664276592,0.13750204522910353,ok,1,1.0,1.0,9.999999999732445e-07
5,4,percent,9,1,1,2.021739979634562,0.9201335177515608,0.1537107527486759,ok,1,1.0,1.0,0.004439097167037498
5,5,percent,8,1,1,1.9072014126286057,0.9171700066585717,0.1700576147696126,ok,1,1.0,1.0,9.999999999177334e-07
5,6,percent,7,1,1,1.7640408035184172,0.9065376448007177,0.1943036750055968,ok,1,1.0,1.0,0.006616359607130112
5,7,percent,6,1,1,1.5955794572033937,0.8905098505720851,0.23903436400054284,ok,1,1.0,1.0,0.04206446950118889
5,8,percent,5,1,1,1.4392409797895145,0.8942506999930296,0.27121745386307217,ok,1,1.0,1.0,0.030147253216474212
5,9,percent,4,1,1,1.2868639562317756,0.9282761239771674,0.2913066805502766,ok,1,1.0,1.0,0.19437351288607385
5,10,percent,3,0,0,1.0791300763882232,0.9822665261613762,0.3456443858269414,ok,1,,,
6,1,percent,12,0,0,2.2354934703333815,0.8996287528644598,0.13360219337793644,ok,1,,,
6,2,percent,12,2,1,2.23496200908637,0.8994148771250807,0.13495168553853917,ok,1,0.0,1.5,9.999999999871223e-07
6,3,percent,10,1,1,2.06574322606665,0.8971408841097678,0.15557226202591315,ok,1,1.0,1.0,1.000000000001e-06
