season,bootstrap,alpha,s0_entropy,mean_abs_rank_diff,mean_sq_rank_diff,weekly_elim_match_rate,finals_order_match,placement_match_rate,elim_week_mae,objective
34,0,0.15416666666666662,2.5389757064858807,0.0,0.0,1.0,1.0,1.0,0.0,-0.050779514129717616
34,1,0.22499999999999998,2.519309236355195,0.0,0.0,1.0,1.0,1.0,0.0,-0.050386184727103905
33,0,0.15416666666666662,2.441549925719971,0.3076923076923077,0.46153846153846156,1.0,0.0,0.7692307692307693,0.0,0.41270746302406214
33,1,0.22499999999999998,2.514423379736751,0.46153846153846156,0.7692307692307693,1.0,0.0,0.6923076923076923,0.0,0.7189423016360342
32,0,0.8625,2.6051736179260834,0.0,0.0,1.0,1.0,1.0,0.0,-0.05210347235852167
32,1,0.5083333333333333,2.57644231988799,0.0,0.0,1.0,1.0,1.0,0.0,-0.0515288463977598
31,0,0.36666666666666664,2.710597925989709,0.25,0.25,1.0,0.0,0.75,0.0,0.19578804148020582
31,1,0.29583333333333334,2.705836855487503,0.25,0.25,1.0,0.0,0.75,0.0,0.19588326289024993
30,0,0.29583333333333334,2.5588933709551775,0.13333333333333333,0.13333333333333333,1.0,0.0,0.8666666666666667,0.0,0.08215546591422979
30,1,0.36666666666666664,2.6479709281714765,0.26666666666666666,0.26666666666666666,1.0,0.0,0.7333333333333333,0.0,0.21370724810323713
29,0,0.08333333333333331,2.592403185226022,0.26666666666666666,0.26666666666666666,1.0,0.0,0.7333333333333333,0.0,0.21481860296214622
29,1,0.08333333333333331,2.573142872478185,0.13333333333333333,0.13333333333333333,1.0,0.0,0.8666666666666667,0.0,0.08187047588376964
28,0,0.29583333333333334,2.406450269794611,0.0,0.0,1.0,1.0,1.0,0.0,-0.048129005395892224
28,1,0.5083333333333333,2.4485085099738844,0.0,0.0,1.0,1.0,1.0,0.0,-0.04897017019947769
27,0,0.012499999999999983,2.523539107925488,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.1033753716876441
27,1,0.012499999999999983,2.4874507922666504,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.10409713800082085
26,0,0.36666666666666664,2.285560760049637,0.4,0.4,1.0,0.0,0.6,0.0,0.3542887847990073
26,1,1.2875,2.2868208045883627,0.4,0.4,1.0,0.0,0.6,0.0,0.35426358390823276
25,0,1.3583333333333334,2.5541556586471166,0.3076923076923077,0.3076923076923077,1.0,0.0,0.6923076923076923,0.0,0.25660919451936537
25,1,1.4291666666666667,2.5438820742136206,0.3076923076923077,0.3076923076923077,1.0,0.0,0.6923076923076923,0.0,0.2568146662080353
24,0,-0.2,2.449721198515444,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11767224269635779
24,1,-0.12916666666666668,2.449597239130317,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11767472188406031
23,0,1.3583333333333334,2.5380776748716007,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.10308460034872184
23,1,1.0041666666666667,2.5359506231045756,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.10312714138406234
22,0,0.22499999999999998,2.451278221176667,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11764110224313332
22,1,0.36666666666666664,2.467642190608378,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.1173138228544991
21,0,-0.05833333333333335,2.5004271873649486,0.46153846153846156,0.6153846153846154,1.0,0.0,0.6153846153846154,0.0,0.5653760716373164
21,1,-0.05833333333333335,2.496751574188794,0.46153846153846156,0.6153846153846154,1.0,0.0,0.6153846153846154,0.0,0.5654495839008395
20,0,0.5083333333333333,2.4753958777995386,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11715874911067589
20,1,-0.05833333333333335,2.4646637503162223,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11737339166034222
19,0,0.15416666666666662,2.5252016270925504,0.0,0.0,1.0,1.0,1.0,0.0,-0.050504032541851006
19,1,-0.05833333333333335,2.525402592497109,0.0,0.0,1.0,1.0,1.0,0.0,-0.05050805184994218
18,0,0.22499999999999998,2.4362588012307436,0.0,0.0,1.0,1.0,1.0,0.0,-0.048725176024614875
18,1,-0.12916666666666668,2.437947505239608,0.0,0.0,1.0,1.0,1.0,0.0,-0.048758950104792156
17,0,0.43749999999999994,2.463542264503769,0.0,0.0,1.0,1.0,1.0,0.0,-0.04927084529007538
17,1,1.4291666666666667,2.466479465617037,0.0,0.0,1.0,1.0,1.0,0.0,-0.049329589312340744
16,0,0.36666666666666664,2.4554540906493623,0.0,0.0,1.0,1.0,1.0,0.0,-0.049109081812987246
16,1,0.012499999999999983,2.4432328005176185,0.0,0.0,1.0,1.0,1.0,0.0,-0.04886465601035237
15,0,0.012499999999999983,2.5276278747409844,0.0,0.0,1.0,1.0,1.0,0.0,-0.05055255749481969
15,1,0.15416666666666662,2.528016119678962,0.0,0.0,1.0,1.0,1.0,0.0,-0.050560322393579236
14,0,-0.05833333333333335,2.449662042126399,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11767342582413867
14,1,-0.2,2.45170162577613,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11763263415114406
13,0,0.012499999999999983,2.4486926559773656,0.0,0.0,1.0,1.0,1.0,0.0,-0.048973853119547314
13,1,0.012499999999999983,2.447666780957169,0.0,0.0,1.0,1.0,1.0,0.0,-0.04895333561914338
12,0,0.15416666666666662,2.370596204049057,0.0,0.0,1.0,1.0,1.0,0.0,-0.047411924080981147
12,1,0.43749999999999994,2.367655106756151,0.0,0.0,1.0,1.0,1.0,0.0,-0.047353102135123025
11,0,1.4291666666666667,2.4733254291376237,0.0,0.0,1.0,1.0,1.0,0.0,-0.04946650858275248
11,1,1.0041666666666667,2.4658498776123574,0.0,0.0,1.0,1.0,1.0,0.0,-0.04931699755224715
10,0,1.1458333333333333,2.374391372616619,0.0,0.0,1.0,1.0,1.0,0.0,-0.04748782745233238
10,1,1.5,2.377329220600558,0.0,0.0,1.0,1.0,1.0,0.0,-0.04754658441201116
9,0,0.012499999999999983,2.743114312776849,0.25,0.25,1.0,0.0,0.75,0.0,0.195137713744463
9,1,0.15416666666666662,2.7357734221285646,0.25,0.25,1.0,0.0,0.75,0.0,0.1952845315574287
8,0,0.08333333333333331,2.5309821768086693,0.0,0.0,1.0,1.0,1.0,0.0,-0.05061964353617339
8,1,-0.12916666666666668,2.5335335607512106,0.0,0.0,1.0,1.0,1.0,0.0,-0.050670671215024214
7,0,-0.05833333333333335,2.537326914275181,0.0,0.0,1.0,1.0,1.0,0.0,-0.05074653828550362
7,1,0.6499999999999999,2.5398093403397297,0.0,0.0,1.0,1.0,1.0,0.0,-0.050796186806794597
6,0,0.36666666666666664,2.47036087277665,0.0,0.0,1.0,1.0,1.0,0.0,-0.049407217455533003
6,1,0.8625,2.4606108395047985,0.0,0.0,1.0,1.0,1.0,0.0,-0.04921221679009597
5,0,0.7916666666666667,2.4696986428992735,0.0,0.0,1.0,1.0,1.0,0.0,-0.04939397285798547
5,1,1.075,2.4722637622743155,0.0,0.0,1.0,1.0,1.0,0.0,-0.04944527524548631
4,0,0.36666666666666664,2.3870128776284805,0.0,0.0,1.0,1.0,1.0,0.0,-0.04774025755256961
4,1,1.5,2.3835410065833584,0.0,0.0,1.0,1.0,1.0,0.0,-0.04767082013166717
3,0,0.08333333333333331,2.381445550504754,0.18181818181818182,0.18181818181818182,1.0,0.0,0.8181818181818182,0.0,0.13418927080808674
3,1,-0.12916666666666668,2.3776424792649324,0.18181818181818182,0.18181818181818182,1.0,0.0,0.8181818181818182,0.0,0.13426533223288317
2,0,-0.05833333333333335,2.1497229284146426,0.0,0.0,1.0,1.0,1.0,0.0,-0.042994458568292857
2,1,0.08333333333333331,2.280300715770903,0.2,0.2,1.0,0.0,0.8,0.0,0.15439398568458196
1,0,0.08333333333333331,1.7806972149078226,0.0,0.0,1.0,1.0,1.0,0.0,-0.03561394429815645
1,1,-0.12916666666666668,1.7540970899142585,0.0,0.0,1.0,1.0,1.0,0.0,-0.03508194179828517
