season,week,celebrity_name,s_share_mean,s_share_std,s_share_p10,s_share_p50,s_share_p90
34,1,Corey Feldman,0.052184057775352295,0.007835782117040448,0.04485629972486501,0.05057451454122559,0.06079945041314094
34,1,Danielle Fishel,0.07842271761300532,0.03393054566748338,0.0486962218197097,0.06728303690372567,0.11706095797372468
34,1,Elaine Hendrix,0.0635720712357085,0.008147585591528358,0.055309823301205235,0.06279873980217429,0.07245298431703914
34,1,Baron Davis,0.033512715427963295,0.013848601559181497,0.019592923132762997,0.03368033960464421,0.04729840838181886
34,1,Jordan Chiles,0.06666760143434136,0.01097113207283888,0.054948439824546814,0.06660749188619752,0.07843485068265096
34,1,Andy Richter,0.07017071599462256,0.030077423581920143,0.036344515052725374,0.0748170787418044,0.1002798267387743
34,1,Robert Irwin,0.14834019479868085,0.032903287014324586,0.12384483991945106,0.13281497647538615,0.18525572433654644
34,1,Hilaria Baldwin,0.058600379526459474,0.01222124524010762,0.04506568585852758,0.05981941266710418,0.07115984668187561
34,1,Lauren Jauregui,0.06530414436745391,0.007751961754572826,0.05683868202595923,0.06836249528867808,0.07132292597196925
34,1,Scott Hoying,0.05849447610478073,0.00850791521541772,0.04950623958321375,0.0599836532494191,0.06629137091063701
34,1,Alix Earle,0.09115093139754499,0.02358938584294556,0.06966258871682321,0.08616554407521348,0.11662758393613198
34,1,Jen Affleck,0.043197171175844054,0.008206255620543706,0.03405750556052171,0.047023883144133735,0.049275467216534655
34,1,Whitney Leavitt,0.06140982296105573,0.00994266550725986,0.0506050493203063,0.06434350732925007,0.0698676491072497
34,1,Dylan Efron,0.10897300018718696,0.012441459049104993,0.09890178790914085,0.103945167515466,0.12306647860260983
34,2,Corey Feldman,0.04417806629032719,0.010180896447661401,0.03371673117165091,0.0431912193871907,0.05542887893151266
34,2,Danielle Fishel,0.0738861378071074,0.028566390889181042,0.04770910693534859,0.06584514264095319,0.10649596481178958
34,2,Elaine Hendrix,0.0652446897372052,0.008975764517636008,0.05638011411846806,0.06375204865385063,0.07530337822262598
34,2,Baron Davis,0.030388872211192772,0.010914850176339173,0.018807928825472817,0.03246758966714745,0.04030684163214898
34,2,Jordan Chiles,0.07039888939493762,0.00946647413278806,0.060784174774581846,0.06918589690349006,0.08098399800845144
34,2,Andy Richter,0.06344813516884487,0.030279782839783224,0.029119030861100285,0.06928623601276457,0.0931067588014537
34,2,Robert Irwin,0.15898138820632748,0.04308000525826154,0.12862005667328172,0.13739352570794025,0.20661300973808303
34,2,Hilaria Baldwin,0.05996686784204658,0.012095536890910585,0.046737017954584535,0.06075903061867465,0.07256298750820617
34,2,Lauren Jauregui,0.0669653277630205,0.00807635762065493,0.058183607151959076,0.07046493298822956,0.07294736419391466
34,2,Scott Hoying,0.05465815590952307,0.010766183868567621,0.04319904355509128,0.05757553623571894,0.06378336400299817
34,2,Alix Earle,0.09315960792861097,0.02305364456786494,0.07241907461667745,0.087846924142164,0.11815028826970206
34,2,Jen Affleck,0.04591686630776516,0.008963131350252496,0.036479790648606236,0.05082107682802032,0.05143057355071994
34,2,Whitney Leavitt,0.06478519094851992,0.008292003048385026,0.05578711837684533,0.06683588986572529,0.0721427043864302
34,2,Dylan Efron,0.10802180448457138,0.013239894790952014,0.0966889069844776,0.1035564081346965,0.12292701906456506
34,3,Corey Feldman,0.03743404324554847,0.012227508095972343,0.024027358574528052,0.03871340407288571,0.0498172392546991
34,3,Danielle Fishel,0.07453080491352002,0.029174587927892487,0.04795035309674731,0.06610926914279341,0.107848485346874
34,3,Elaine Hendrix,0.06573448756937281,0.009216596662744415,0.05672231903716433,0.06400332750270425,0.07613158415491617
34,3,Baron Davis,0.02422582888091538,0.007262719044045957,0.016276497177861716,0.027749409726489538,0.029356295907509728
34,3,Jordan Chiles,0.07288356488327324,0.008436569215436394,0.06494387850187214,0.07075431954646659,0.0825266475341197
34,3,Andy Richter,0.06254184872707375,0.030317670316643695,0.02814716087498225,0.0685058229196053,0.09216535722514002
34,3,Robert Irwin,0.16225984456062276,0.04635540039136265,0.13009988008022663,0.13869435905864524,0.2132721974426009
34,3,Hilaria Baldwin,0.06091158652248236,0.011899860351079207,0.04805825882554408,0.06132754565368989,0.07343214691445463
34,3,Lauren Jauregui,0.06542246153977835,0.007686416776848997,0.057000451980804695,0.06799946689816813,0.07178286681204019
34,3,Scott Hoying,0.055485066322009564,0.010471258860195985,0.04439921031910014,0.058097162981804645,0.06448124499708295
34,3,Alix Earle,0.09538758246719545,0.022324350067970018,0.07586851625065885,0.08935705534393124,0.11973107038234346
34,3,Jen Affleck,0.04528744945212016,0.008664872084914751,0.03618363117696173,0.050174821337615166,0.05048137021888258
34,3,Whitney Leavitt,0.06702571770590764,0.007004852847902543,0.05947014412107977,0.06835315531017483,0.07351934120732176
34,3,Dylan Efron,0.11086971321018012,0.0125575687640059,0.10145203860153157,0.10505319116647374,0.1249406054537938
34,4,Corey Feldman,0.0,0.0,0.0,0.0,0.0
34,4,Danielle Fishel,0.07924386174063089,0.027881732533198485,0.05394692064119989,0.07092338531092038,0.1111971839838303
34,4,Elaine Hendrix,0.07336478478486048,0.009925307309886812,0.06413718615492651,0.07071602204468613,0.08471139360693396
34,4,Baron Davis,0.0,0.0,0.0,0.0,0.0
34,4,Jordan Chiles,0.08044630602313613,0.007132559881574637,0.07373201517587252,0.07865722973547722,0.08859185790052687
34,4,Andy Richter,0.06595450446729703,0.03144955163907108,0.030228422930800216,0.07248877438670848,0.09645317006826466
