season,celebrity_name,wiki_title,pop_score,pop_score_end,pop_score_start,pop_score_delta,source,window_start,window_end
21,Hayes Grier,Hayes Grier,70,70,0,70,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Kim Zolciak-Biermann,Kim Zolciak,1354,1354,1309,45,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Nick Carter,Nick Carter,2994,2994,2945,49,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Paula Deen,Paula Deen,2304,2304,2263,41,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Tamar Braxton,Tamar Braxton,1806,1806,1713,93,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Victor Espinoza,Victor Espinoza,251,251,240,11,wikipedia_edits_cumulative,2015-09-01,2015-11-10
22,Antonio Brown,Antonio Brown,1120,1120,1021,99,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Doug Flutie,Doug Flutie,1572,1572,1543,29,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Geraldo Rivera,Geraldo Rivera,2363,2363,2339,24,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Ginger Zee,Ginger Zee,221,221,198,23,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Jodie Sweetin,Jodie Sweetin,1451,1451,1424,27,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Kim Fields,Kim Fields,469,469,428,41,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Marla Maples,Marla Maples,528,528,471,57,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Mischa Barton,Mischa Barton,3328,3328,3316,12,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Nyle DiMarco,Nyle DiMarco,300,300,202,98,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Paige VanZant,Paige VanZant,243,243,217,26,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Von Miller,Von Miller,1066,1066,913,153,wikipedia_edits_cumulative,2016-03-01,2016-05-03
22,Wanya Morris,Wanya Morris,193,193,188,5,wikipedia_edits_cumulative,2016-03-01,2016-05-03
23,Amber Rose,Amber Rose,2331,2331,2234,97,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Babyface,Babyface (musician),1243,1243,1212,31,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Calvin Johnson Jr.,Calvin Johnson,3256,3256,3186,70,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Jake T. Austin,Jake T. Austin,4158,4158,4153,5,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,James Hinchcliffe,James Hinchcliffe,381,381,361,20,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Jana Kramer,Jana Kramer,939,939,888,51,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Laurie Hernandez,Laurie Hernandez,285,285,207,78,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Marilu Henner,Marilu Henner,656,656,642,14,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Maureen McCormick,Maureen McCormick,1134,1134,1121,13,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Rick Perry,Rick Perry,5301,5301,5256,45,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Ryan Lochte,Ryan Lochte,1946,1946,1874,72,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Terra Jole,Terra Jolé,18,18,0,18,wikipedia_edits_cumulative,2016-09-01,2016-11-10
23,Vanilla Ice,Vanilla Ice,3894,3894,3865,29,wikipedia_edits_cumulative,2016-09-01,2016-11-10
24,Bonner Bolton,Bonner Bolton,22,22,0,22,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Charo,Charo,1281,1281,1194,87,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Chris Kattan,Chris Kattan,798,798,773,25,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,David Ross,Adin Ross,0,0,0,0,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Erika Jayne,Erika Jayne,498,498,461,37,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Heather Morris,Heather Morris,1338,1338,1298,40,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Mr. T,Mr. T,5534,5534,5519,15,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Nancy Kerrigan,Nancy Kerrigan,957,957,939,18,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Nick Viall,Nick Viall,56,56,0,56,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Normani,Normani,97,97,46,51,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Rashad Jennings,Rashad Jennings,264,264,237,27,wikipedia_edits_cumulative,2017-03-01,2017-05-03
24,Simone Biles,Simone Biles,1450,1450,1375,75,wikipedia_edits_cumulative,2017-03-01,2017-05-03
25,Barbara Corcoran,Barbara Corcoran,294,294,275,19,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Debbie Gibson,Debbie Gibson,2096,2096,2071,25,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Derek Fisher,Derek Fisher,2436,2436,2430,6,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Drew Scott,Drew Scott,507,507,413,94,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Frankie Muniz,Frankie Muniz,4086,4086,4023,63,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Jordan Fisher,Jordan Fisher,228,228,190,38,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Lindsey Stirling,Lindsey Stirling,2370,2370,2324,46,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Nick Lachey,Nick Lachey,2707,2707,2701,6,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Nikki Bella,Nikki Bella,1246,1246,1209,37,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Sasha Pieterse,Sasha Pieterse,1968,1968,1934,34,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Terrell Owens,Terrell Owens,8406,8406,8112,294,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Vanessa Lachey,Vanessa Lachey,1778,1778,1772,6,wikipedia_edits_cumulative,2017-09-01,2017-11-03
25,Victoria Arlen,Victoria Arlen,81,81,69,12,wikipedia_edits_cumulative,2017-09-01,2017-11-03
26,Adam Rippon,Adam Rippon,949,949,932,17,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Arike Ogunbowale,Arike Ogunbowale,25,25,0,25,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Chris Mazdzer,Chris Mazdzer,88,88,84,4,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Jamie Anderson,Jamie Anderson (snowboarder),261,261,255,6,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Jennie Finch Daigle,Casey Daigle,148,148,147,1,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Johnny Damon,Johnny Damon,3413,3413,3410,3,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Josh Norman,Josh Norman,904,904,896,8,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,4555,4555,4550,5,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Mirai Nagasu,Mirai Nagasu,1618,1618,1615,3,wikipedia_edits_cumulative,2018-04-01,2018-04-22
26,Tonya Harding,Tonya Harding,2272,2272,2238,34,wikipedia_edits_cumulative,2018-04-01,2018-04-22
27,Alexis Ren,Alexis Ren,266,266,224,42,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Bobby Bones,Bobby Bones,311,311,298,13,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Danelle Umstead,Danelle Umstead,29,29,21,8,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,DeMarcus Ware,DeMarcus Ware,1579,1579,1569,10,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Evanna Lynch,Evanna Lynch,2633,2633,2606,27,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Joe Amabile,Joe Amabile,4,4,0,4,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,John Schneider,John Schneider (screen actor),1226,1226,1217,9,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Juan Pablo Di Pace,Juan Pablo Di Pace,277,277,254,23,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Mary Lou Retton,Mary Lou Retton,862,862,843,19,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Milo Manheim,Milo Manheim,175,175,133,42,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Nancy McKeon,Nancy McKeon,532,532,507,25,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Nikki Glaser,Nikki Glaser,350,350,325,25,wikipedia_edits_cumulative,2018-09-01,2018-10-27
27,Tinashe,Tinashe,2576,2576,2527,49,wikipedia_edits_cumulative,2018-09-01,2018-10-27
28,Ally Brooke,Ally Brooke,799,799,780,19,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Hannah Brown,Hannah Brown,113,113,95,18,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,James Van Der Beek,James Van Der Beek,1341,1341,1315,26,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Karamo Brown,Karamo Brown,216,216,177,39,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Kate Flannery,Kate Flannery,347,347,334,13,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Kel Mitchell,Kel Mitchell,3344,3344,3311,33,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Lamar Odom,Lamar Odom,2282,2282,2241,41,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Lauren Alaina,Lauren Alaina,2504,2504,2464,40,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Mary Wilson,Mary Wilson,46,46,46,0,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Ray Lewis,Ray Lewis,3409,3409,3399,10,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Sailor Brinkley-Cook,Sailor Brinkley Cook,4,4,4,0,wikipedia_edits_cumulative,2019-09-01,2019-11-10
28,Sean Spicer,Sean Spicer,1195,1195,1178,17,wikipedia_edits_cumulative,2019-09-01,2019-11-10
29,AJ McLean,AJ McLean,1563,1563,1543,20,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Anne Heche,Anne Heche,1557,1557,1538,19,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Carole Baskin,Carole Baskin,352,352,285,67,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Charles Oakley,Charles Oakley,648,648,642,6,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Chrishell Stause,Chrishell Stause,390,390,351,39,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Jeannie Mai,Jeannie Mai,782,782,759,23,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Jesse Metcalfe,Jesse Metcalfe,1544,1544,1535,9,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Johnny Weir,Johnny Weir,2366,2366,2360,6,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Justina Machado,Justina Machado,468,468,460,8,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Kaitlyn Bristowe,Kaitlyn Bristowe,229,229,218,11,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Monica Aldama,Monica Aldama,56,56,33,23,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Nelly,Nelly,5809,5809,5800,9,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Nev Schulman,Nev Schulman,470,470,463,7,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Skai Jackson,Skai Jackson,2071,2071,2048,23,wikipedia_edits_cumulative,2020-09-01,2020-11-10
29,Veron Davis,Juan Sebastián Verón,1403,1403,1401,2,wikipedia_edits_cumulative,2020-09-01,2020-11-10
30,Amanda Kloots,Amanda Kloots,168,168,150,18,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Brian Austin Green,Brian Austin Green,2379,2379,2350,29,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Christine Chiu,Bling Empire,102,102,94,8,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Cody Rigsby,Cody Rigsby,2,2,0,2,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Iman Shumpert,Iman Shumpert,1553,1553,1540,13,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Jimmie Allen,Jimmie Allen,352,352,330,22,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,JoJo Siwa,JoJo Siwa,1182,1182,1154,28,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Kenya Moore,Kenya Moore,1188,1188,1165,23,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Martin Kove,Martin Kove,691,691,647,44,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Matt James,Matt James,75,75,74,1,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Melanie C,Melanie C,5995,5995,5950,45,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Melora Hardin,Melora Hardin,720,720,704,16,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,"Mike ""The Miz"" Mizanin",The Miz,13416,13416,13400,16,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Olivia Jade,Olivia Jade,586,586,566,20,wikipedia_edits_cumulative,2021-09-01,2021-11-03
30,Suni Lee,Sunisa Lee,485,485,456,29,wikipedia_edits_cumulative,2021-09-01,2021-11-03
31,Charli D'Amelio,Charli D'Amelio,1226,1226,1185,41,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Cheryl Ladd,Cheryl Ladd,802,802,796,6,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Daniel Durant,Daniel Durant,86,86,76,10,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Gabby Windey,Gabby Windey,63,63,41,22,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Heidi D'Amelio,Charli D'Amelio,1226,1226,1185,41,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Jason Lewis,Jason Lewis (actor),558,558,548,10,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Jessie James Decker,Jessie James Decker,1804,1804,1793,11,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Jordin Sparks,Jordin Sparks,7989,7989,7921,68,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Joseph Baena,Joseph Baena,114,114,9,105,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Sam Champion,Sam Champion,650,650,648,2,wikipedia_edits_cumulative,2022-09-01,2022-11-03
31,Selma Blair,Selma Blair,1880,1880,1867,13,wikipedia_edits_cumulative,2022-09-01,2022-11-03
