factor,delta_nll_add,delta_nll_add_sd,frac_folds_add_improves,delta_nll_drop,delta_nll_drop_sd,frac_folds_drop_hurts,delta_spearman_add,delta_kendall_add,delta_top1_add,delta_top3_add
celebrity_age_during_season,-0.18215243728706057,NA,1,0.6319834965472488,NA,1,0.040955045991309114,0.03813451814799186,0.06190476190476191,-0.02857142857142858
celebrity_homestate,-0.11216228267170578,NA,1,0.12504735160115174,NA,1,0.014667133485105947,0.007988192960276308,-0.00476190476190475,-0.09047619047619047
ballroom_partner,-0.07932531499536566,NA,1,0.06291477267128939,NA,1,0.013029933391060587,0.002787000883367457,0.10952380952380951,0.02857142857142856
celebrity_homecountry_region,0.04307972718032218,NA,0,-0.005958355370788838,NA,0,-0.008314208371617681,-0.005615073589434588,0,0
celebrity_industry,0.6977503307088255,NA,0,-0.13398519106963108,NA,0,-0.3640160692048405,-0.2766413950671267,0.019047619047619046,-0.14761904761904762
