model,fold,season,n_items,nll,nll_per_item,spearman,kendall_tau,top1,top3_overlap
full_minus_industry,1,4,11,17.024675802940468,1.5476978002673152,0.5363636363636364,0.41818181818181815,1,1
full_minus_industry,1,7,13,21.666911047704552,1.6666854652080425,0.4450549450549451,0.3076923076923077,0,1
full_minus_industry,1,11,12,18.569433042459664,1.5474527535383054,0.6923076923076924,0.5757575757575758,0,1
full_minus_industry,1,13,12,20.272889887311145,1.689407490609262,0.2307692307692308,0.21212121212121213,0,1
full_minus_industry,1,21,13,20.221824386067038,1.5555249527743875,0.6813186813186813,0.5128205128205128,1,1
full_minus_industry,1,27,13,21.883780136969254,1.6833677028437888,0.4945054945054945,0.28205128205128205,0,1
full_minus_industry,2,1,6,6.866659315410001,1.144443219235,-0.2571428571428572,-0.2,0,1
full_minus_industry,2,9,16,29.403277978232246,1.8377048736395154,0.5176470588235293,0.36666666666666664,0,1
full_minus_industry,2,14,12,18.62966908035327,1.5524724233627725,0.6783216783216784,0.45454545454545453,0,1
full_minus_industry,2,20,12,19.617715920327665,1.6348096600273054,0.39160839160839167,0.30303030303030304,0,1
full_minus_industry,2,24,12,18.173997187929682,1.5144997656608068,0.7972027972027973,0.6060606060606061,0,1
full_minus_industry,2,30,15,25.80549300168501,1.720366200112334,0.5749999999999998,0.4476190476190477,0,1
full_minus_industry,2,34,14,23.875683762174372,1.705405983012455,0.5082511326360442,0.3535965568702911,0,1
full_minus_industry,3,2,10,15.111748790669152,1.5111748790669153,0.04242424242424242,0.022222222222222223,0,1
full_minus_industry,3,10,11,16.718132944314487,1.5198302676649533,0.6454545454545454,0.4909090909090909,1,1
full_minus_industry,3,15,13,22.104020828957413,1.7003092945351856,0.4010989010989011,0.28205128205128205,0,1
full_minus_industry,3,17,12,18.931055964000485,1.5775879970000404,0.4755244755244756,0.30303030303030304,0,1
full_minus_industry,3,18,12,19.370442255935505,1.6142035213279586,0.30069930069930073,0.30303030303030304,0,1
full_minus_industry,3,26,10,14.860128680006627,1.4860128680006626,0.45454545454545453,0.3333333333333333,1,1
full_minus_industry,3,31,16,28.54776946179465,1.7842355913621657,0.6411764705882352,0.4833333333333333,1,1
full_minus_industry,4,5,12,20.758962007329615,1.7299135006108013,-0.21678321678321683,-0.15151515151515152,0,0
full_minus_industry,4,6,12,19.273794485086807,1.6061495404239006,0.5314685314685316,0.2727272727272727,0,1
full_minus_industry,4,12,11,17.343176359340454,1.5766523963036776,0.19090909090909092,0.12727272727272726,0,1
full_minus_industry,4,19,13,22.690745474416886,1.7454419595705297,0.20329670329670332,0.05128205128205128,0,1
full_minus_industry,4,25,13,20.730651922075843,1.5946655324673726,0.5164835164835165,0.41025641025641024,0,1
full_minus_industry,4,28,12,18.811918882828053,1.5676599069023378,0.2867132867132867,0.21212121212121213,0,1
full_minus_industry,4,29,15,26.40799892826073,1.7605332618840488,0.4785714285714285,0.3523809523809524,0,0
full_minus_industry,5,8,13,21.265077728971907,1.635775209920916,0.6538461538461539,0.46153846153846156,1,1
full_minus_industry,5,16,12,18.433066975623543,1.5360889146352952,0.6993006993006995,0.5151515151515151,1,1
full_minus_industry,5,22,12,18.901079897265454,1.575089991438788,0.31468531468531474,0.21212121212121213,0,1
full_minus_industry,5,23,13,22.547672812003757,1.7344363701541352,0.24725274725274726,0.20512820512820512,0,1
full_minus_industry,5,32,14,25.099867290134636,1.7928476635810455,0.27912087912087913,0.18681318681318682,0,1
full_minus_industry,5,33,13,20.86022893734774,1.6046329951805953,0.4628116735064833,0.3117146000796787,0,1
full_minus_partner,1,3,11,16.53637690102027,1.5033069910018426,0.5363636363636364,0.34545454545454546,0,1
full_minus_partner,1,4,11,16.870460788509135,1.5336782535008304,0.4818181818181818,0.45454545454545453,0,1
full_minus_partner,1,7,13,22.178268321497946,1.7060206401152267,0.48901098901098905,0.28205128205128205,0,1
full_minus_partner,1,11,12,18.67239206608504,1.5560326721737534,0.5314685314685316,0.3939393939393939,0,1
full_minus_partner,1,13,12,20.196279154374025,1.683023262864502,0.08391608391608392,0.09090909090909091,1,1
full_minus_partner,1,21,13,20.738580049539845,1.595275388426142,0.6043956043956044,0.4358974358974359,0,1
full_minus_partner,1,27,13,22.512051181126992,1.7316962447020763,0.2692307692307692,0.2564102564102564,0,1
full_minus_partner,2,1,6,6.426913673983866,1.071152278997311,0.4857142857142857,0.3333333333333333,1,1
full_minus_partner,2,9,16,29.96609411728308,1.8728808823301926,0.38823529411764707,0.2666666666666666,0,1
full_minus_partner,2,14,12,18.832073775062025,1.5693394812551686,0.6713286713286714,0.48484848484848486,0,1
full_minus_partner,2,20,12,19.160114168994152,1.5966761807495127,0.49650349650349657,0.3939393939393939,0,1
full_minus_partner,2,24,12,17.92178483696417,1.4934820697470144,0.7762237762237764,0.6060606060606061,0,1
full_minus_partner,2,30,15,26.084626272552942,1.7389750848368628,0.507142857142857,0.3523809523809524,0,1
full_minus_partner,2,34,14,23.669129472943073,1.6906521052102195,0.6644668487276422,0.5082950505010434,0,1
full_minus_partner,3,2,10,15.877378443244197,1.5877378443244197,-0.3525852153344375,-0.26967994498529685,0,0
full_minus_partner,3,10,11,17.42562181089123,1.584147437353748,0.23636363636363636,0.16363636363636364,0,1
full_minus_partner,3,15,13,21.52799497682847,1.65599961360219,0.3626373626373626,0.2564102564102564,0,1
full_minus_partner,3,17,12,18.7869899972046,1.56558249976705,0.5524475524475525,0.36363636363636365,0,1
full_minus_partner,3,18,12,19.588456695764048,1.6323713913136706,0.2657342657342658,0.24242424242424243,0,0
full_minus_partner,3,26,10,14.811619894502046,1.4811619894502046,0.33333333333333326,0.2,0,1
full_minus_partner,3,31,16,29.278036456358425,1.8298772785224016,0.37058823529411766,0.24999999999999997,1,1
full_minus_partner,4,5,12,19.271749735063295,1.605979144588608,0.2587412587412588,0.18181818181818182,0,1
