fold,model,n_seasons,nll_mean,nll_sd,spearman_mean,kendall_mean,top1,top3_overlap
1,baseline_age_industry,7,19.890129420966222,2.5189194218011375,0.3407604665501836,0.26481806996426105,0,1
2,baseline_age_industry,7,20.610538679232622,7.610446194603055,0.44111492692728954,0.3193159532918918,0.2857142857142857,1
3,baseline_age_industry,7,19.628234463914733,5.098137149498615,0.31499654254200465,0.23447047570723115,0,0.7142857142857143
4,baseline_age_industry,7,21.33739822136671,2.9238054833061558,0.38364141657266,0.27831046453859476,0.14285714285714285,1
5,baseline_age_industry,6,21.323591763186453,2.1876875232186763,0.4740881962776576,0.3646539805690162,0.3333333333333333,1
1,full_all,7,19.459571280289136,2.3428511076479084,0.502668759811617,0.3758907758907759,0.42857142857142855,1
2,full_all,7,20.18716972373053,7.432667087470994,0.5303499640258758,0.38164264481492954,0.14285714285714285,1
3,full_all,7,19.580570901169693,5.02840851483665,0.31144919506264046,0.21282051282051281,0.42857142857142855,0.7142857142857143
4,full_all,7,21.255175313931463,2.8962141629995095,0.30098829741686883,0.21292041292041292,0,0.8571428571428571
5,full_all,6,21.487539209326496,2.300364908053176,0.38626092328023043,0.2988152197446729,0.16666666666666666,0.8333333333333334
1,baseline_plus_partner,7,19.679829112908962,2.4781821853774857,0.420422434708149,0.3048951048951049,0.2857142857142857,1
2,baseline_plus_partner,7,20.49682384351838,7.511879664035836,0.4524426416283793,0.32341441334318255,0.2857142857142857,1
3,baseline_plus_partner,7,19.620229665850882,5.271183796817352,0.31811158029645425,0.22882672882672883,0.42857142857142855,0.8571428571428571
4,baseline_plus_partner,7,21.320400019887902,2.8010676856557404,0.3600399600399601,0.25006422149279295,0.14285714285714285,1
5,baseline_plus_partner,6,21.275983331523783,2.1779294452598292,0.46873459915215565,0.368303479930023,0.16666666666666666,1
1,baseline_plus_state,7,19.694442941734412,2.4035488288208713,0.41355787070072786,0.3102231102231102,0.14285714285714285,1
2,baseline_plus_state,7,20.30207964158857,7.522783564769307,0.5708709976141362,0.42428333745562213,0.14285714285714285,1
3,baseline_plus_state,7,19.549737183862717,4.7947124099459275,0.2718469826307072,0.1842515163507518,0.14285714285714285,0.7142857142857143
4,baseline_plus_state,7,21.18178469850988,3.0093203168254448,0.3564248774115028,0.2602929712221022,0.14285714285714285,0.7142857142857143
5,baseline_plus_state,6,21.50103666961263,2.308345395971275,0.415236487938251,0.3224589736207901,0.16666666666666666,0.8333333333333334
1,baseline_plus_country,7,19.875908297928724,2.512313714006141,0.34604090040204605,0.26415206929826035,0,1
2,baseline_plus_country,7,20.609318586243553,7.615272320561153,0.44465290944926106,0.32227848514333357,0.2857142857142857,1
3,baseline_plus_country,7,19.74953146822907,5.11760882700927,0.2665059095225484,0.19975498905524391,0,0.7142857142857143
4,baseline_plus_country,7,21.387422362427362,2.9221121737656612,0.37005984884177967,0.2691124036325012,0.14285714285714285,1
